Lemma (見出し語)	Rank	Frequency (頻度)	Japanese (by Google)	Commentary (解説)	cf. code	Category code
neut	22,163	27	中性子爆弾	(=neutron bomb)中性子爆弾	719	58
neuter	29,384	16	中性	中性(の)		27
neutered	23,138	25	去勢	去勢された		76
neutral	4,254	385	中性	えこひいきしない. 中立の. はっきりしない. 中立者. ニュートラル. 灰色っぽい		
neutrality	13,391	64	中立性	(国家の)中立. 中立政策. 中立･不偏不党の状態		
neutralization	23,649	24	中和	中和		87
neutralize	9,589	110	中和する	中立化する. 中和する		
neutrino	40,852	8	ニュートリノ	ニュートリノ		60
neutron	21,344	29	中性子	中性子. 原子核を構成する無電荷の粒子. 記号n. 平均寿命は約15分でβ崩壊を起こし陽子となる. (中性子爆弾という核爆弾. a nuclear bomb called neutron bomb)	719	58
Neutropenia	17,841	40	好中球減少症	好中球減少(症). (好中球は5種類ある白血球の1種類)		91
neutropenic	22,636	26	好中球減少	好中球減少		91
neutrophil	6,302	215	好中球	好中球は5種ある白血球の1種. 盛んな遊走運動(アメーバ運動)を行い,侵入してきた細菌や真菌類の異物を貪食し,殺菌を行う. 骨髄で作られる.		78
Nevada	6,555	202	ネバダ	ネバダ州,NV		4
neve	25,431	21	雪原	万年雪に覆われた雪原. 粒状万年雪		
never	156	13,272	決して	決して～ない. 今までに一度も～ない		
nevermind	16,859	44	気にしないで	語源は心配するな. →同名の音楽アルバムで大ヒット.		
nevertheless	3,109	608	それにもかかわらず	それにもかかわらず. それでも. やはり	993	27
Nevis	55,144	4	ネビス島	セントクリストファー･ネイビス Federation of Saint Kitts and Nevis. 西インド諸島の小アンティル諸島の2島からなる島国. 英連邦の一国		1
nevus	26,084	20	母斑	母斑		78
new	68	35,829	新しい	新しい		
Newark	8,790	127	ニューアーク	ニューアーク市(ニュージャージー州)		2
newbie	29,384	16	初心者	初心者		
newborn	9,589	110	新生児	生まれたての		37
newcomer	8,968	123	新人	新来者. 新参者. 新人. 新入り. ニューフェース. 新顔. 新米. 新入生		
newer	5,775	246	新しい	新しい		
newest	7,166	176	最新	最新の		
newfangled	35,353	11	新しもの好きの	新奇の. 新式の. 最新流行の		
newfound	16,407	46	新発見の	新発見の		
Newfoundland	18,353	38	ニューファンドランド州	ニューファンドランド島. カナダ東岸の大きな島. 沖合の海域Grand Banksは,ラブラドル海流(寒流)とメキシコ湾流(暖流)がぶつかる世界屈指の漁場		2
newly	2,995	641	新たに	新たに. 最近. 再び		
newlywed	22,163	27	新婚	新婚		
Newman	7,070	180	ニューマン	ニューマン(人名)		98
Newport	9,843	105	ニューポート	Newport Beach ニューポートビーチ. カリフォルニア州オレンジ郡の都市		2
news	246	9,228	ニュース	ニュース		43
newscast	19,875	33	ニュース放送	ニュースを放送する. ニュース放送		
newscaster	26,829	19	ニュースキャスター	ニュースキャスター		
Newsday	11,080	87	ニュースデイ	ニュースデイ. ニューヨーク地区の日刊紙		43
Newsgroup	18,918	36	ニュースグループ	ニュースグループ. ネットニュースにおいて話題のテーマや目的別に分けられた記事の集まりのこと		95
newshour	8,148	143	newshour	BBC放送のニュース番組		43
newsletter	7,554	161	ニュースレター	広報. 社報		
Newsmagazine	21,344	29	ニュースマガジン	ニュースマガジン. ニュース雑誌		43
newsman	30,344	15	newsman	ニュース番組のレポーター. 取材記者		43
newspaper	802	3,051	新聞	新聞. 新聞紙		43
newspaperman	40,852	8	新聞記者	新聞記者		43
newsprint	21,344	29	新聞紙	新聞印刷用紙		
newsquiz	6,018	231	newsquiz	BBC Radioのニュースクイズ番組		43
newsreel	40,852	8	ニュース映画	(短い)ニュース映画		43
newsroom	18,064	39	ニュース編集室	ニュース編集室. 報道室		
newsstand	12,787	69	ニューススタンド	新聞雑誌売場		
Newsweek	2,193	977	ニューズウィーク	ニューズウィーク(雑誌名)		43
Newsweekly	19,536	34	ニュース週刊誌	ニュース週刊誌		43
newsworthy	23,138	25	報道価値のある	報道価値のある		
newsy	35,353	11	話題の豊富な	ニュースの多い. 話題の豊富な. おしゃべりな	725	
newt	4,750	328	イモリ	イモリ(両生類. ヤモリは爬虫類)	651	72
Newton	7,339	169	ニュートン	アイザック･ニュートン(Isaac Newton). 1642生. イングランドの科学者,数学者. 三大発見とされる万有引力,二項定理,将来微分積分学へ発展する理論を確立 他		98
next	265	8,601	次	次の. 次の人･物. 翌～. 隣の. の隣に		
nexus	18,353	38	ネクサス	関連(connection). 絆(bond). ネクサス(文の構成要素間の主語述語関係)		27
NFL	4,261	384	NFL	National Football League. 全米フットボール･リーグ		46
NG	2,783	708	NG	Nigeriaの国コード, トップレベルドメイン. 2. Natural Gas(天然ガス). 3. 州兵(National Guard). 4. news group. 5. Nanogram. 6. nitroglycerin 他		29
NGO	23,138	25	NGO	Non-Governmental Organization. 非政府組織		18
NH	10,299	98	NH	New Hampshire ニューハンプシャー州		4
NHI	30,344	15	NHI	National Health Insurance. 国民健康保険		18
niacin	46,471	6	ナイアシン	ナイアシン. ニコチン酸		87
Niagara	15,752	49	ナイアガラ	ナイアガラの滝		2
nib	46,471	6	ペン先	ペン先. くちばし(=bill. beak. pecker. nib. neb)	792	
nibble	16,859	44	ニブル	少しずつかむ. (獣･魚が)少しづつかじる. 気のあるふりをする		76
NIC	19,536	34	NIC	Newly industrialized countries. 新興工業国, 2. Network Information Center		29
Nicaragua	16,407	46	ニカラグア	ニカラグァ共和国 Republic of Nicaragua		1
Nicaraguan	26,829	19	ニカラグア人	ニカラグア人,ニカラグアの		1
nice	468	5,087	素晴らしい	すてきな. よい		
nicely	5,476	264	うまく	きちょうめんに. うまく. 立派に. 心地よく. 気むずかしく		
niceness	22,163	27	きちょうめんさ	きちょうめんさ		
nicer	7,522	162	よりよい	よりよい		
nicest	15,956	48	素敵な	素敵な		
nicety	25,431	21	機微	細密. 精密. 正確. 微妙. 気むずかしさ. 優雅さ		
niche	5,927	236	ニッチ	(人･物の)適所. 適性		
Nichol	9,072	121	ニコル	ニコル (人名)		98
nick	4,497	355	ニック	ニック(人名). 刻み目. 言い当てる. 盗む. 捕える. だます. 刑務所	571	13
nickel	8,836	126	ニッケル	ニッケル. 元素記号Ni. 白銅貨. ニッケル硬貨. (米)5セント		57
nickelodeon	19,536	34	ニッケルオデオン	セント映画. セント劇場(nickel=5cent)		
Nicklaus	10,560	94	ニクラウス	Jack Nicklaus. ニクラウス. 米国のプロゴルファー		98
nickle	18,353	38	nickleの	ニッケル. 金属元素. 元素記号Ni. 鉄と共に最も安定な元素で,ステンレス鋼や硬貨他に広く使われる		57
nickname	4,614	342	ニックネーム	にあだ名をつける. あだ名. ニックネーム. 愛称		
nicotine	7,388	167	ニコチン	ニコチン		87
niece	7,339	169	姪	めい. 姪		37
Nietzsche	12,139	75	ニーチェ	Friedrich W. Nietzscheフリードリヒ･ニーチェ. ドイツの哲学者		35
nifty	12,550	71	気の利いた	粋な(stylish). 楽しい(pleasing). 気が利いた. 格好いい. 素晴らしい		
Niger	38,763	9	ニジェール	ニジェール共和国 Republic of Niger. 西アフリカのサハラ砂漠南の国. 内陸国で,人口1700万人		1
Nigeria	8,108	144	ナイジェリア	Federal Republic of Nigeria. ナイジェリア連邦共和国. アフリカ西部の英連邦加盟国で旧奴隷海岸. 人口1. 75億でアフリカ最大. 北部はイスラム圏,南部はキリスト教圏. ニジェール川デルタの石油で国内対立		1
Nigerian	15,194	52	ナイジェリアの	ナイジェリアの		1
niggardly	36,956	10	けちで	けちな. もの惜しみして		
nigger	18,918	36	黒人	(軽蔑的)黒人		
niggle	29,384	16	小さなことにくよくよする	めんどうな		
nigh	26,084	20	近くに	近くに. 近い		
night	339	6,695	夜	夜		61
nightcap	32,594	13	寝酒	(寝るときかぶる)ナイトキャップ. (寝る前に飲む)寝酒. 2. (野球)ダブルヘッダーの第2試合		46
nightclub	9,203	118	ナイトクラブ	ナイトクラブ		
nightfall	29,384	16	日暮れ	たそがれ. 日暮れ. 夕方		
nightgown	30,344	15	ネグリジェ	ナイトガウン		36
nighthawk	50,313	5	ヨタカ	ヨタカ. 夜ふかしする人		72
nightie	55,144	4	ネグリジェ	ねまき. ネグリジェ		36
nightingale	17,841	40	ナイチンゲール	ナイチンゲール. さよなきどり(夜歌う鳥). 美声の女性		72
nightjar	46,471	6	ヨタカ	ヨタカ(鳥の名)		72
nightlife	9,115	120	ナイトライフ	夜遊び		
nightline	15,194	52	ナイト	ナイトライン		
nightly	9,960	103	毎晩	夜な夜なの. 毎夜の. 毎夜. 夜に		
nightmare	5,530	261	悪夢	うなされること. 悪夢(のような経験). 恐怖. 夢魔		
nightmarish	25,431	21	悪夢のような	悪夢のような		
nightshade	43,408	7	ホオズキ	ナス科の植物. (cf. eggplantナス)	387	69
nightspot	30,344	15	ナイトスポット	ナイトスポット		
nightstick	55,144	4	警棒	(米語)警棒		
nighttime	16,407	46	夜間	夜間		
NIH	4,475	357	米国国立衛生研究所	National Institutes of Health. アメリカ国立衛生研究所		18
nihilism	23,649	24	ニヒリズム	虚無主義. ニヒリズム		19
nihilist	40,852	8	ニヒリスト	ニヒリスト. 虚無主義者. 暴力革命主義者		19
nihilistic	25,431	21	虚無的な	虚無的な		
Nike	8,187	142	ニケ	ニケ(勝利の女神. ギリシア神話). ナイキ		8
Nikon	14,726	55	ニコン	ニコン(日本のカメラメーカー)		96
nil	22,636	26	ゼロ	ゼロ		
Nile	8,417	136	ナイル川	ナイル川世界一長い川 (1位ナイル川6690km. 2位アマゾン川6300 km. 3位長江(揚子江)6300km. 4位ミシシッピ川6210km. 5位黄河5460km)		2
nilly	4,091	408	nilly	willy‐nilly (いやでも応でも)		31
nimble	30,344	15	軽快	機知にに富む. 融通のきく. すばやい. 抜け目ない. 敏捷な		
nimbly	55,144	4	機敏	すばやく		
nincompoop	50,313	5	nincompoop	とんま. ばか者. つまらない人	842	
nine	28,448	17	9	9. 9つの		
nineteen	3,723	466	19	19. 19の		
nineteenth	9,730	107	第19	第19番目の. 19分の1の		
ninety	13,521	63	90	90. 90の		
ninja	12,787	69	忍者	忍者		
ninny	35,353	11	ninny	ばか(者). まぬけ. 乳首. 乳房	667	79
Nintendo	19,536	34	ニンテンドー	任天堂(日本のゲーム機メーカー)		96
ninth	4,712	331	第9	(日付の)9日. 第9. 9番目の		
nip	12,062	76	ニップ	阻止する. つねる. はさむ. かむ. はさみ. ひとかみ. ひとつねり. 風刺. 酷評. 犬が噛む		
nipa	9,905	104	ニッパヤシ	ニッパヤシ		
nipple	10,494	95	ニップル	乳首	667	79
nippy	46,471	6	すばしこい	(幼児語)おしゃぶり(=pacifier). 2. すばしこい. 厳しい		32
nirvana	18,918	36	解脱	サンスクリットの仏教用語で,涅槃･解脱のこと		6
NIS	24,827	22	NIS	New Independent States. 旧ソ連新独立国家		29
Nissan	10,027	102	日産	日産(自動車メーカー名)		41
nit	20,935	30	寄生虫の卵	シラミの卵. シラミ(knitと同音語)	699	72
nitpick	16,610	45	小うるさい	細かいあら捜しをする. 重箱の隅をつつく		
nitrate	13,391	64	硝酸塩	硝酸塩. (肥料として用いられる)硝酸カリ. 硝酸ソーダ		87
nitric	10,369	97	窒素の	硝酸		
nitrocellulose	11,863	78	ニトロセルロース	ニトロセルロース(硝化綿). セルロースを硝酸と硫酸で処理し作る. 用途は塗料,接着剤,火薬(白煙を出す黒色火薬に比し無煙火薬と呼ばれる). 樟脳と作られたセルロイドは世界初の熱可塑性合成樹脂		87
nitrogen	3,660	476	窒素	窒素. 元素記号N		57
nitrous	31,439	14	亜硝酸の	硝石の. 窒素の		87
nitwit	40,852	8	とんちき	まぬけ	842	
nix	20,184	32	ニックス	(俗)無. 皆無. 拒絶する. 否定する. = no.	767	31
Nixon	2,757	719	ニクソン	ニクソン. Richard M. Nixon. 米国第37代大統領1969-74. 共和党		98
NJ	6,613	199	ニュージャージー州	State of New Jersey ニュージャージー州		4
NL	8,296	139	NL	Netherlandオランダ. Not Listed. No Limit 他		29
NM	2,192	978	NM	State of New Mexicoニューメキシコ州. 美しい景観でLand of Enchantment(魅惑の土地)の通称 2. Nightmare　他		4
nmol	26,084	20	ナノモル	ナノモル. 濃度を表す方式. 溶液1L中の溶質をモル数を使って表した単位が1mol/Lで,その10(-9乗)mol=1nmol. (nmoleも使用). (cf. mmol,pmol)	411	50
NMR	16,610	45	NMR	Neclear Magnetic Resonance. 核磁気共鳴	826	58
NMT	7,296	171	NMT	Nordic Mobile Telecommunication System. エリクソンが北欧諸国,サウジ他と開発したアナログ携帯電話(電波の届かぬ過疎地で国際ローミングでき,旅行者に人気)		95
no	57	43,405	いいえ	いいえ. 少しも～ない. 1人も(1つも)～ない		
NOAA	23,649	24	NOAA	アメリカ海洋大気庁. National Oceanic and Atmospheric Administration. 米国商務省の機関の一つ. 海洋と大気に関する調査と研究を行う		18
Noah	9,691	108	ノア	ノアの箱舟(Noah's Ark)	435	98
nob	38,763	9	ノブ	頭. 頭への一撃. 貴族. 金持ち. 名士. 要人. お偉方	509	
Nobel	5,952	235	ノーベル	ダイナマイトの発明者Alfred Nobel. その遺言に従って1901年からノーベル賞が始まった. 物理学,化学,医学生理学,文学,平和,経済学の6分野		98
nobility	16,610	45	気高さ	高貴の生まれ. 高潔さ. 貴族	509	
noble	4,461	359	貴族	堂々とした. 気高い. 堂々たる. 高貴の. 貴族の. 崇高な		
nobleman	29,384	16	貴族	貴族. 華族	509	
noblesse	43,408	7	貴人	高貴の身分. 貴族階級	509	
noblewoman	55,144	4	上臈	貴族の婦人. 高貴の生まれの女性	509	
nobly	28,448	17	気高く	貴族らしく. 気高く. 立派に. 堂々と	509	
nobody	1,529	1,510	誰も	誰も(一人も)～ない. (特に地位や財産のない)とるに足りない人		
nocturnal	19,238	35	夜行性の	夜の. 夜行われる		
nod	5,284	278	うなずき	うとうとする. うなずく. うなずいて承諾･命令する. うなずき. 黙礼	574	
nodal	13,799	61	節の	節の		
nodded	12,344	73	うなずいて	うなずいて	574	
node	2,763	717	ノード	節点. 結び目. こぶ. 節(ふし). (劇などの筋の)もつれ		69
nodule	18,918	36	結節	小節. 小起節. 小さなこぶ(節). 団塊. (cf. root nodule bacteria根粒菌)		85
noel	15,027	53	ノエル	クリスマス(仏語)		34
Noelle	24,198	23	ノエル	ノエル(人名). (クリスマスはnoel)		98
nog	28,448	17	木栓	ノッグ(英国の強いビール). eggnog		
noggin	25,431	21	頭	頭. 脳. バケツ. 手桶. 酒を飲むこと. . 小型ジョッキ. 少量. 2. ばか. 愚か者. 鈍い奴		
noh	27,590	18	能楽	能. 猿楽		
noise	2,473	835	ノイズ	(不快で非音楽的な)音,騒音. 騒がしさ. 雑音. 言い触らす	482	30
noisily	40,852	8	わいわい	やかましく		
noisome	55,144	4	悪臭のする	有害な. 悪臭のする. 不快な	817	82
noisy	6,909	186	騒々しい	やかましい. 騒々しい. ざわついた	482	
nomad	18,064	39	遊牧民	遊牧民. 流浪者(cf. nomadic)	433	5
nomadic	21,758	28	遊牧民の	遊牧の. cf. nomad(遊牧民)	433	5
nomenclature	9,387	114	命名	学名命名法. 専門語. 学名. 術語		
nominal	8,567	132	名目	名目上の. 名称上の. 名詞の. 名詞語句		27
nominally	15,548	50	名目上	名義上. 名目上. 名詞的に		
nominate	6,432	208	指名する	(候補者として)指名する. 推薦する. 任命する		
nomination	4,230	388	指名	(特に官職の)任命. 指名. 指定. 推薦		
nominative	46,471	6	主格	指名(任命)の. 主格(の). 主語		27
nominee	5,898	238	名義人	任命された人		
non	2,309	920	ノン	非. 否定. 拒否	767	
nonadherence	30,344	15	非遵守	不遵守の		
nonamer	20,935	30	九量体	(Life Science生命科学用語)九量体(9のユニットで構成するオリゴマー)		
nonattainment	23,649	24	未達成	未達成		
nonbank	46,471	6	ノンバンク	ノンバンク. 銀行ではない金融機関		16
nonce	30,344	15	ノンス	当面の目的. 目下. 当座. その場限りの. 臨時の. 性的異常者. 強姦犯人. 卑劣な奴. ばかげたこと	879	81
nonchalance	35,353	11	無関心	むとんちゃく. 無関心		
nonchalant	43,408	7	無関心な	無頓着な. 無関心な. 冷淡な. 平然とした. 冷静な	593	
nonchalantly	40,852	8	いい加減に	無頓着に. 冷淡に. 無関心に	593	
noncitizen	24,827	22	noncitizen	非市民		
noncode	22,636	26	非コード	非コード		
noncommittal	28,448	17	曖昧な	曖昧な. どちらともつかない		
noncompliance	11,252	85	違反	違反		
nonconformist	43,408	7	従わない	プロテスタント. 国教を信奉しない人. 体制などに従わない人. 非国教徒. 非協調の		6
nondescript	26,084	20	目立たない	これといった特徴のない. 目立たない		
nondisjunction	20,184	32	不分離	不分離	901	
none	1,110	2,192	なし	少しも～ない. だれも～ない. 決して～ない		
nonentity	50,313	5	非実在	非実在. 取るに足りないこと(状態)		
nonequilibrium	15,371	51	非平衡	非平衡性. 非平衡		
nonessential	23,649	24	非必須	本質的でない		
nonesuch	38,763	9	稀少	無比の人(もの). 逸材(品)		
nonetheless	3,577	492	それにもかかわらず	それにもかかわらず. やはり	993	27
nonexchange	13,799	61	所外取引	所外取引. ノンエクスチェンジ取引. 物価安定のため取引所を通さない取引		
nonexistent	11,080	87	存在しない	存在しない		
nonfat	21,344	29	脂肪のない	無脂肪		
nonfatal	24,827	22	致命的でない	致命的でない		
nonfederal	10,986	88	nonfederal	非連邦(の)		
nonfiction	11,574	81	ノンフィクション	ノンフィクション		
nonfinancial	18,625	37	非金融	非金融		
nonfunctional	23,138	25	機能しない	機能しない		
nongovernmental	19,238	35	非政府	非政府		
nonhuman	25,431	21	ヒト以外の	ヒト以外の		76
noninvasive	25,431	21	非侵襲的	非侵襲		
nonlinear	13,139	66	非線形の	非線形の		
nonlinearity	30,344	15	非線形性	非線形性		
nonparametric	17,075	43	ノンパラメトリック	ノンパラメトリック. (統計用語)母数によらない. 統計のパラメーターに関わらない		
nonpartisan	16,610	45	党派に属さない	党派に属さない. 党人でない. 無所属の		
nonprofit	4,641	339	非営利の	非営利的な		
nonproliferation	26,829	19	核不拡散	核不拡散		58
nonsense	6,595	200	ナンセンス	たわごと. 無意味		
nonsensical	21,344	29	ばかげた	馬鹿げた. 愚にもつかない. 無意味な	879	
nonsmoker	20,935	30	非喫煙者	非喫煙者		
nonspecific	9,905	104	非特異性の	非特異		
nonstandard	19,875	33	規格外の	規格外の		
nonstop	17,312	42	ノンストップ	ノンストップの		
nonsubscriber	9,333	115	非加入者	非購読者		
nonsynonymous	29,384	16	非同義	非同義		
nontypeable	20,935	30	分類不可能な	分類不可能な		
nonverbal	27,590	18	非言語的な	非言語的な		
nonviolence	32,594	13	非暴力主義	非暴力(の状態). 非暴力主義. 非暴力でも		19
nonviolent	16,407	46	非暴力の	非暴力の		
nonwhite	27,590	18	非白人	非白人		
noodle	12,653	70	ヌードル	(料理)ヌードル. (俗)頭. ばか		39
nook	17,555	41	ヌック	引っ込んだところ. すみ. 隠れ場所. 避難所	299	
noon	4,126	403	正午	正午		
noone	26,084	20	誰も	誰も		
noontime	55,144	4	真昼	昼		
noose	26,084	20	ヌース	(引くと輪が締まるようになっている)輪なわ. 引き結び. (縄を結んだ)輪		
nope	3,963	427	いいえ	Noのくだけた言い方		
nor	1,237	1,910	も～ない	もまた～でない. そしてまた～ない		
Nora	8,417	136	ノラ	ノラ(人名)		98
NORAD	11,485	82	NORAD	North American Aerospace Defense Command. 北米大陸防空軍(旧North American Air Defense Command)	308	23
Nordstrom	23,649	24	ノードストローム	ノードストロム. ワシントン州シアトルに本部をおく全米有数の大型チェーンデパート		96
Norepinephrine	11,762	79	ノルエピネフリン	ノルエピネフリン. 神経線維ニューロンから放出される神経伝達物質. ノルアドレナリンともいわれる		87
norm	5,049	298	標準	基準労働量. 標準		
normal	751	3,306	通常の	普通の. 平均的な. 標準の. 典型的な. 平均値		
normality	14,564	56	正常	常態. 標準的なこと		
normalization	4,591	344	正規化	正規化した		
normalize	10,237	99	正規化する	正常化する. 正規どおりにする		
normalized	4,798	323	正規化された	正規化された		
normally	2,122	1,023	通常は	普通に. 順当に. 標準的に. 正常に. 正規に. 普段は		
Norman	4,533	351	ノーマン	ノーマン (人名)		98
Normandy	17,075	43	ノルマンディー	ノルマンディー(仏語 Normandie). イギリス海峡に臨むフランス北西部の地方		2
normative	20,935	30	規範的な	規範的な		
norovirus	55,144	4	ノロウイルス	ノロウイルス. 非細菌性急性胃腸炎を引き起こすウイルス. 貝類の食中毒や,感染者の吐瀉物から経口感染する		91
Norse	26,829	19	ノルウェー人の	ノルウェー人の. 古代スカンジナビアの		1
north	618	3,993	北	北. 北部		63
northeast	4,737	329	北東	北東部. 北東へ. 北東. 北東の		
northeastern	10,696	92	北東部の	北東部の. 北東. 東北. 北東からの		63
northerly	40,852	8	北風	北風. 北寄りの. 北へ	627	62
northern	1,509	1,539	北方	北部出身の. 北の. 北から吹く. 北部方言		63
northerner	26,829	19	北部地方の人	北部地方の人. 北国の人. 北部の人		5
northernmost	21,344	29	最北	最北		63
Northridge	18,625	37	ノースリッジ	ノースリッジ. ロサンゼルス市の地名		2
Northrop	10,027	102	ノースロップ	Northrop Grumman Corporation. ノースロップがグラマンを買収し誕生. ロッキード･マーティン,BAE(英),ボーイングに次ぎ世界4位の軍需メーカー. 軍艦製造では世界一		23
northtower	25,431	21	northtower	北館		
northward	23,138	25	北へ	北に向かって. 北に向かう. 北方. 北に向いた. 北方への. 北方へ		
northwest	3,917	433	北西	北西部の. 北西へ. 北西. 北西地方		
northwestern	11,408	83	北西部の	北西の		63
Norway	9,544	111	ノルウェー	ノルウェー王国 Kingdom of Norway		1
Norwegian	13,018	67	ノルウェーの	ノルウェーの		1
nose	2,987	643	鼻	鼻. (blow nose. 鼻をかむ. runny nose鼻が出る. stuffy nose=nasal congestion. 鼻づまり. nose hair鼻毛). (bridge of the nose. 鼻梁(はなみね. 主に牛馬. 眉間から鼻先まで). (びりょう)鼻すじ		79
nosebleed	43,408	7	鼻血	鼻血		78
nosed	29,384	16	鼻	鼻の. (flat-nosed. 鼻の低い)		79
nosedive	43,408	7	急降下	急降下. ～以上. ～に勝るとも劣らない		
nosh	25,431	21	食べる	(主に米国)間食. 間食する. (主に英国)(食べる. 飲む)	749	
nosocomial	20,184	32	院内	院内		
nostalgia	7,363	168	郷愁	郷愁. ノスタルジア. 懐古の情		
nostalgic	10,237	99	ノスタルジック	郷愁に満ちた		
nostril	21,344	29	鼻孔	鼻孔		79
nosy	28,448	17	おせっかいな	かびくさい. 鼻の大きい. おせっかいな. (口)せんさく好きな	304	31
not	23	97,397	しない	しない. (文や語の否定)～でない		
notable	4,727	330	注目に値する	注目に値する. 著しい. 著名な. 名士. 著名な事物	372	
notably	4,145	401	特に	明白に. 著しく		
notary	55,144	4	公証人	公証人		12
notation	12,139	75	表記法	表記法. 記数法. 表記. 表示. 注釈. 記録. メモ		27
notch	7,554	161	ノッチ	切り目(をつける). 刻み目. 山峡. V字形の刻み目. 山あい. 段. 級. (目印のために)刻み目をいれる cf. knot(結び目. 結ぶ)	437	
note	315	7,314	注意	ノート. 符号. 記号. 覚え書き. 注目. 著名. 書き留める. 注意する	372	
notebook	6,760	192	ノート	ノート		
noted	26,829	19	注目	有名な. 著名な	372	
notepad	29,384	16	メモ帳	メモ用紙. はぎ取り式ノート		
noteworthy	7,786	153	注目に値する	注目に値する	372	
nother	22,163	27	何もない	その他の何もない. Ex. nother thing just occurred to me		
nothing	465	5,110	何も～ない	何も～ない		
notice	928	2,638	お知らせ	に気づく. だとわかる. 通知. 掲示. 注意		
noticeable	10,168	100	目立つ	目立つ. 著しい		
noticeably	13,664	62	顕著	著しく		
notification	9,843	105	通知	通知書		
notify	6,108	226	通知する	発表する. 通知する. 告知する. 届け出る. 広告する		43
notion	2,397	875	概念	心に思うこと. 概念. 観念. 意向. 意志. 考え	813	
notional	36,956	10	概念的な	概念の	813	
notochord	25,431	21	脊索	脊索		76
notoriety	16,191	47	悪評	悪名. 悪評. 悪名高い人	815	
notorious	6,108	226	悪名高い	悪評の高い. 悪名高い. 周知の	815	
notoriously	12,653	70	悪名高い	悪名が知れわたるほどに. 悪名高く		
Notre	10,027	102	ノートルダム	ノートルダム寺院(パリ). ゴシック建築を代表する建物		6
notwithstanding	7,222	174	にもかかわらず	それにもかかわらず. にもかかわらず	993	27
nought	50,313	5	無価値	(主にUK)完全な失敗. ゼロ. 無価値. 滅びた. 零(=naught)		54
noun	4,660	337	名詞	名詞		27
nourish	19,536	34	育てる	に栄養分を与える. 養う. に滋養物を与える. 育てる. 助長する		
nourishment	38,763	9	栄養	栄養状態. 滋養物. 食物. 助成. 育成		89
nous	22,636	26	ヌース	ヌース. (口語)常識. 知性. 精神. 理性		
nouveau	16,191	47	ヌーヴォー	ヌーヴォー. 新しい(仏語)		
Nov	2,712	733	11月	11月(November)の省略形		61
nova	8,499	134	新星	ラテン語で新星の意味	116	34
Novartis	22,636	26	ノバルティス	Novartis International AGノバルティス. スイスのバーゼルが本拠地の国際的な製薬･バイオテクノロジー企業		96
novation	15,548	50	更改	更改		
novel	1,137	2,132	小説	(長編)小説. 新しい. 珍しい. 異常な. 新奇な		35
novelist	5,969	234	小説家	小説家		
novella	43,408	7	短編小説	(イタリア語)短編物語		35
novelty	7,554	161	ノベルティ	目先の変わった商品. 珍しさ. 目新しさ. 新しい物(こと)		
November	2,153	1,003	11月	11月		61
novice	11,485	82	初心者	初心者		
now	79	30,435	今	今. 現在. さて. さあ		
nowaday	4,879	314	現今の	(口)現在の		31
nowhere	4,070	411	どこにも	どこにも～ない. どこにもない場所		
NOx	5,835	242	窒素酸化物	Nitrogen Oxide. 窒素酸化物		87
noxious	20,527	31	有害な	不健全な. 有害な		
nozzle	24,827	22	ノズル	吹き出し口. (俗)鼻. 筒口. ノズル		31
NP	7,614	159	NP	Newsprint. 新聞 2. ネパールの略. 3. No problem. 4. national parks. 5. Np(ネプツニウムの元素記号 他		29
NPR	6,595	200	NPR	National Public Radio. ナショナル パブリック ラジオ		43
NPT	46,471	6	NPT	Nuclear Non-Proliferation Treaty. 核兵器不拡散条約	826	58
NR	7,140	177	NR	Nuclear Reactor. 原子炉 2. 国内記録(National Record). 3. Noise Reduction. 4. No Return(故人) 他		29
NS	61,960	3	NS	Nanosecondナノ秒. Name Server. Network Simulator. National Security. Nonstandard. Nuclear Submarine. Nuclear Ship　他		29
NSC	4,240	387	NSC	National Security Council. 米国家安全保障会議		18
NT	5,603	256	NT	Nanotube. ナノチューブ 他		29
nth	43,408	7	n番目の	n倍の. 何番目か分からないほどの. 最も新しい		
NTP	20,935	30	NTP	Network Time Protocol		95
nu	19,238	35	ニュー	(第13ギリシア文字)ニュー. Ν. ν	115	33
nuance	9,290	116	ニュアンス	(仏語)ニュアンス(微妙な差違,陰影,色合い)		34
nuanced	13,263	65	微妙	微妙な		
nub	36,956	10	結節	要点. 核心. しん. 結び目. the nub of the matter問題の核心. (小さなかたまり)		
nubile	50,313	5	魅力的な	年ごろで性的魅力のある. (女性が)結婚適齢期の	567	
nuclear	1,104	2,216	核の	核の. 中心の. 原子核の	719	58
nuclease	11,252	85	ヌクレアーゼ	ヌクレアーゼ. 核酸分解酵素の総称		88
nucleation	26,084	20	核生成	核生成	826	76
nucleic	7,251	173	核酸	核酸(=nucleic acid). ヌクレオチド(DNAやRNAの構成単位のヌクレオシドにリン酸基が結合したもの)が連なった生体高分子. 水素基か水酸基を持つかでデオキシリボ核酸(DNA)とリボ核酸(RNA)がある		87
nucleolar	17,312	42	仁の	核小体の. 核小体		76
nucleolus	14,243	58	核小体	核小体	450	76
nucleon	92,134	1	核子(かくし)	核子(かくし. 陽子および中性子をいう)	719	58
nucleophile	13,521	63	求核試薬	求核試薬. 求核剤. 試薬. 電子密度が低い原子(主に炭素)へ反応し,多くの場合結合を作る化学種のこと.		87
