Word	POS	BNC Rank	Google Rank	IPA	Conjugations	Synonyms	Arabic	Chinese	German	Greek	English	French	Italian	Japanese	Korean	Dutch	Portuguese	Russian	Spanish	Swedish	Thai	Turkish
mediate	v.	28229	26615	mˈidiˌeɪt	mediates mediated mediating	umpire intervene intercede reconcile referee arbitrate	توسط, سوى الخلاف, حقق من طريق التوسط	N/A	vermitteln	μεσιτεύω, μεσολαβώ	intervene; reconciliate, help facilitate peace between two parties in a dispute; act as an intermediary between two parties to help bring about a desired result	négocier; servir d'intermédiaire	fare da mediatore, interporsi; (rar) occupare un posto intermedio	仲介する; 調停する; 仲裁して解決する	조정하다; 중재하다, 조정하여 성립시키다, 협정 따위를 조정하여 성립시키다, 강화 따위를 조정하여 성립시키다	bemiddelen	mediar	посредничать, служить связующим звеном	mediar, abogar, arbitrar, estar de por medio, interceder, intermediar, interponerse, intervenir, terciar	medla	N/A	aracılık etmek, vasıta olmak, araya girmek, ara bulmak
membrane	n.	8838	6487	mˈɛmbrˌeɪn	membranes	casing crust covering film	غشاء, غشاء حيواني أو نباتي	薄膜, 膜, 羊皮纸	Membrane	μεμβράνη, υμήν, υμένας	thin and soft layer of animal or plant tissue that covers or lines an organ or part, membrana	membrane	membrana; pergamena, cartapecora	膜	막, 얇은 막	membraan	membrana	перепонка, пленка, диафрагма, мембрана	membrana, binza, panículo	membran, tunn hinna	เยื่อบุผิว เยื่อหุ้มเซลล์, เยื่อหุ้มบาง	zar
memorize	v.	67220	33600	mˈɛmɜˌaɪz	memorizes memorized memorizing	learn remember	حفظ ( عن ظهر قلب ), حفظ عن ظهر قلب	N/A	speichern (Computer); merken, einprägen	απομνημονεύω, αποστηθίζω	remember, learn by heart, commit to memory (also memorise)	mémoriser, se souvenir, se rappeler, apprendre par coeur, inscrire dans sa mémoire	imparare a memoria, fissare nella memoria	記憶する, 暗記する（memorise とも綴る）	기억하다, 암기하다	uit het hoofd leren	memorizar, aprender de cor	запоминать, заучивать наизусть, увековечивать память	aprender de memoria, memorizar, retener en la memoria	memorera, lära sig utantill	N/A	ezberlemek, bellemek
mentor	n.	21764	9430	mˈɛntˌɔr	mentors	teacher counselor tutor guru adviser guide	مستشار, مخلص, معلم خاص, الناصح	N/A	Lehrer, Ratgeber, Führer, Mentor	σοφός σύμβουλος, μέντωρ, μέντορας	spiritual instructor, adviser, counselor, wise man; one who guides and teaches	mentor, maître spirituel, maître à penser	mentore, guida	指導者	정신적 지도자, 조언자, 충고자, 현명한 사람; 지도하거나 가르치는 사람	mentor, raadgever	mentor, guia espiritual, conselheiro, guru	наставник, руководитель, воспитатель, ментор	mentor, aconsejador, consejero, guía, orientador, tutor	mentor, rådgivare, handledare	ผู้ให้คำปรึกษา ที่ปรึกษา	akıl hocası, danışman
mercury	n.	10836	4417	mˈɜkyɜi	mercuries	N/A	زئبق	水银, 汞, 使者	Quecksilber; Merkur;(eine Bezeichnung für) Bote, Kurier	υδράργυρος	quicksilver, heavy metallic element known for its fluidity at average temperatures, element used in thermometers and barometers to measure temperature (Chemistry);messenger, courier	mercure; métal argenté;surnom donné à un messager (Mercure, messager des dieux)	(Chim) mercurio; (Farm) preparato mercuriale; mercorella; (fig) termometro; barometro; (fig) vivacità, argento vivo;(Chim) mercurio; (Farm) preparato mercuriale; mercorella; (fig) termometro; barometro; (fig) vivacità, argento vivo	水銀, 標準温度で流動することで知られる重さのある金属元素, 水銀柱, 温度計と気圧計に使われる元素（化学）;使節, 特使	수은, 온도에 따라 유동하는 중금속, 온도측정을 위한 온도계에 사용되는 중금속	kwik;(naam voor) bode	mercúrio;emissário, enviado	вестник, ртуть, ртутный столб, ртутный препарат; пролеска [бот.]	mercurio, azogue;heraldo, mensajero (apodo)	kvicksilver;smeknamn för budbärare, kurir	ปรอท (สัญลักษณ์ทางเคมีคือ Hg) ธาตุปรอท, สารปรอท	N/A
merge	v.	16763	8957	mˈɜdʒ	merges merged merging	N/A	دمج, اتحد, اندمج	N/A	mischen; vermischen	ενώνομαι, ενώνω, συνενώνω, καταδύω, καταδύομαι, συγχωνεύω, συγχωνεύομαι	blend; be blended; be assimilated; combine or unite into a single body	fusionner, se mêler, être absorbé	fondersi, unirsi, amalgamarsi	合併する; 溶け込む; 同化する	융합하다; 융합시키다; 동화되다; 하나로 합해지다	overgaan (in); samensmelten	unir, consolidar, fundir, ligar; mergulhar; absorver; submergir	поглощать, сливаться, соединяться, сливать, соединять	aliar, anexar, asociar, combinar, confluir, fusionar, incorporar, mancomunar, refundir, reunir, coligarse, adjuntarse, afiliarse, anexarse, asociarse, fundirse, fusionarse	slå ihop; gå samman med; bli ett med, införlivas	N/A	birleşmek, karışmak, kaynaşmak
messenger	n.	14660	3496	mˈɛsəndʒɜ	messengers	courier envoy herald	الرسول, رسول, موفد, مبعوث, ساع	报信者, 使者	Bote, Überbringer	απεσταλμένος, αγγελιαφόρος, εκτελεστής παραγγελίας	one who carries a message or goes on an errand, person employed to deliver official dispatches or go on special errands	messager	messaggero, messo; fattorino	通信伝達者; 配達人; 伝達子; 補助索	심부름꾼, 전령	bode	mensageiro	связной, курьер, посыльный, вестник, гонец, предвестник, посланник, несущий трос	mensajero, correo, emisario, enviado, mandadero, recadero	budbärare, sändebud	คนแจ้งข่าว คนส่งข่าว, ผู้ส่งสาร	haberci, ulak, kurye
metabolism	n.	13544	4705	mətˈæbəlˌɪzəm	N/A	N/A	تبدل المواد, الأيض مجموع العمليات المتصلة ببناء البروتوبلازما	新陈代谢, 变态	Metabolismus, Stoffwechsel	μεταβολισμός	process in which food is converted to provide energy and to produce and maintain cells and tissues (Physiology, Chemistry)	métabolisme	(Biol) metabolismo	代謝; 変態（生理学; 化学）	물질대사, 대사 작용 (내과, 화학)	stofwisseling, metabolisme	metabolismo	метаболизм, обмен веществ	metabolismo	metabolism, ämnesomsättning	กระบวนการเผาผลาญอาหาร เมตาบอลิซึม, การสันดาป	metabolizma
metaphor	n.	8897	16707	mˈɛtəfɔr	N/A	N/A	مجاز, استعارة	隐喻	Metapher	μεταφορά, αλληγορία	simile, poetic substitution of one thing for another in order to suggest comparison or resemblance; mundane thing that is used as a symbol for an abstract concept	métaphore, image, comparaison, emprunt	metafora	隠喩, 匹敵するものや似ているものを誌的に置き換える方法; 象徴	은유, 비유	beeldspraak, metafoor	comparação, figuração, metáfora	метафора	metáfora	metafor, bild, bildligt uttryck	การใช้คำอุปมา การพูดเปรียบเทียบ	mecaz, istiare
methodology	n.	8444	5702	mˌɛθədˈɑlədʒi	N/A	attitude line method slant tactic style	المنهجية, علم المنهج, منهجية, ميتودولجيا	方法学, 方法论	Methodologie, Methodenlehre, Unterrichtsmethodik	N/A	principles and methods of a particular branch of knowledge or discipline; study of the methods of scientific inquiry; study and application of methods of teaching (Education)	méthodologie, systèmatisation de l'étude; principes et méthodes d'une matière particulière de la connaissance; étude des méthodes scientifiques ou techniques; étude des méthodes d'enseignement (Education)	metodologia (gruppo di regole e leggi utilizzate da una disciplina o scienza)	方法論; 方法; 方法学	방법론	methodologie (studie van methodes)	metodologia (ciência do método)	методология	metodología	metodik (forskning om vetenskapliga undersökningsmetoder)	วิธีการ วิธี, หลักการ	metodoloji, yöntembilim
micro	N/A	18165	3413	mˈaɪkrˌoʊ	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
mid	adj.	8254	2044	mˈɪd	N/A	standard mean normal average median middle	أوسط	N/A	in der Mitte, mittel-	μεσαίος, στα μέσα, μέσος	being at or near the middle, holding a midway position; amidst	du milieu, mi, moyen, secondaire	metà, mezzo; medio, di mezzo, che sta nel mezzo	中央の, 真中の; ミッドの; 中の	중앙의	in het midden, middelste, tussen in	no meio, mediano, médio	средний, серединный	central; medio	i mitten, mitt-, mellan-, medel-	N/A	orta, ortadaki
migrate	v.	27574	17378	mˈaɪgrˌeɪt	migrates migrated migrating	N/A	هاجر, نزح, ارتحل	N/A	(umher) wandern, auswandern; (umher) ziehen	μεταναστεύω, αποδημώ	immigrate; wander; move from one region to another in a group; resettle seasonally	émigrer; errer, déambuler; migrer (en troupes)	migrare; (Univ) trasferirsi, cambiare università	移動する; 移住する	이주하다; 방랑하다; 이곳에서 저곳으로 떼를 지어 이동하다; 계절따라 이동하다	migreren, trekken, verhuizen	migrar; medir	мигрировать, переселяться, совершать перелет	emigrar	flytta; vandra; flytta i flock (fåglar)	N/A	göç etmek, göçmek
migration	n.	6521	5266	maɪgrˈeɪʃən	N/A	N/A	هجرة, إرتحال الايونات, نزوح	移民, 移往, 移动	Wanderung, Zug, Abwanderung, Schwarm, Völkerwanderung, (Comput) der Übergang von einem Betriebssystem zu einem anderen	μετανάστευση, αποδημία	act or process of moving from one country to another, immigration; wandering; seasonal relocation of birds or other animals in groups; moving from one platform or operating system to another (Computers)	migration, transfert; en informatique transfert d'une plate-forme ou d'un système d'exploitation à un autre	emigrazione, esodo; immigrazione; migrazione; (inform.) passaggio da una piattaforma o da un sistema d'avvio ad un'altro	移住, 移転; 移動; 移住者群; 移動する群れ; （コンピュータ）ミグレーション, あるOSからあるOSへプラットフォームを移行すること	이주, 이주자군	migratie, immigratie; (het) zwerven; dwaling; (in computers) het overstappen op een nieuw systeem, platform of besturingssysteem	migração; emigrantes; (informática) mudança de plataforma ou de um sistema operacional para outro	миграция, переселение, перемещение, перелет	migración, emigración; (inform.) migración, pasar de una plataforma o sistema operativo a otro	migration; flyttning; vändning; utvandring; (fågel) -sträck; svärm; stim; att flytta från en plattform eller ett funktionssystem till ett annat (data)	การปวดศีรษะข้างเดียว	göç, göçme, göçmenlik, hicret
millimeter	n.	638705	32711	mˈɪləmˌitɜ	millimeters	N/A	ميلمتر جزء من ألف من المتر	毫米	Millimeter (Längenmaß in Metern)	χιλιοστόμετρο, μιλιαμπερόμετρο, χιλιοστό του μέτρου	metric unit of length equal to one thousandth of a meter	millimètre, millième partie du mètre (unité de mesure)	millimetro (unità di misura, millesima parte del metro)	ミリメートル	밀리미터, 거리의 단위, 1/1000 미터	millimeter (lengtemaat, een duizendste meter)	milímetro, unidade de medida de comprimento equivalente a um milésimo do metro	миллиметр	milímetro	millimeter (längdmått enligt meterskalan, en tusendels meter)	มิลลิเมตร	milimetre
mineral	n.	12560	5810	mˈɪnɜəl	N/A	marble stone sandstone limestone granite	معدن, الجماد, مادة غير عضية, مشروبات غازية, مشروبات معدنية	矿物, 无机物, 苏打水	Mineral	ορυκτό	natural substance belonging to a group of inorganic (often crystalline) compounds which are found in the earth, that which is not animal or vegetable	minerai, minéral	minerale; sostanza inorganica	鉱物; 無機物; 清涼飲料水	광물	mineraal	mineral	минерал, руда	mineral	mineral	N/A	mineral, maden, madensel tuz
minimal	adj.	6255	5478	mˈɪnəməl	N/A	smallest negligible token least minimum nominal	الأصغر, أدنى, أقل, متعلق بالحد الأدنى	N/A	wenig, minimal	ελάχιστος, κατώτατος, παραμικρός, μηδαμινός	least possible, very small, smallest; pertaining to a minimum; simple	minime, minimal; simple	minimo, piccolissimo, minimale	最小の; 単純な	매우 적은 양의; 최소의, 최소한도의; 단순한	weinig, minimaal	mínimo	минимальный, очень маленький	mínimo, ínfimo	minimal, lägst, minst	น้อยที่สุด เล็กที่สุด	en az, asgari, en düşük
minimize	v.	19818	7842	mˈɪnəmˌaɪz	minimizes minimized minimizing	underestimate decrease lessen reduce underrate diminish curtail	قلص, خفض, قلل من شأن, قدر على أساس الحد الأدنى, قلل	N/A	verringern; verkleinern; einschränken; möglichst klein machen; bagatellisieren	σμικροποιώ, υποτιμώ, περιορίζω, μειώνω στο ελάχιστο, ελαττώνω	make small, reduce; reduce as much as possible; make less important; play down; (Computers) make a window smaller to the point that only an icon remains in its place (also minimise)	minimiser, rendre petit; réduire; réduire au maximum; rendre moins important; sous évaluer ; réduire une fenêtre de taille et la remplacer par une icône (Informatique)	minimizzare, ridurre al minimo	小さくする; 最小限にする; 過小評価する; 軽視する; （コンピュータ）ウィンドウを最小化する（minimise とも綴る）	최소로 하다, 줄이다; 가능한 최소로 줄이다; 가볍게 보다	minimaliseren, vergoelijken	minimizar; reduzir; diminuir a importância; reduzir ao máximo	доводить до минимума, преуменьшать	minimizar, empequeñecer, reducir al mínimo	förminska, reducera; reducera till ett minimum; förringa	N/A	azaltmak, küçültmek, küçümsemek
minus	prep.	6268	7995	mˈaɪnəs	minuses	N/A	N/A	减, 缺	minus; weniger; negativ; fehlen	N/A	less, lacking, negative	moins, manqué de, négatif, minus	meno; senza, privo di	陰, 負, 欠, マイナス	...을 뺀, ...이 없는, ...이 없이	minder, zonder. negatief	menos, sem, negativo	минус, без	menos; sin; bajo	minus, mindre, utan, negativ	N/A	eksi, çıkarsa, çıktı
missile	n.	8793	9639	mˈɪsəl	missiles	N/A	قذيفة, صاروخ	发射物, 导弹, 飞弹, 火箭	Rakete; Wurfgeschoß; Flugkörper	βλήμα, πύραυλος	object that can be thrown or hurled (stone, arrow, bullet, etc.); weapon which is directed or projected by remote control with the aim of striking a target	missile; projectile; engin	missile, arma missile	飛び道具（石や矢や弾丸など）; ミサイル, 誘導弾	미사일 같이 날아가는 물체 ( 활, 총탄 등); 미사일, 장거리에서 조종되어 발사되는 무기	raket; steen van een katapult; projektiel; slinger	míssil; pedra arremessada por estilingue ou catapulta; objeto arremessado ou que utilizado para ser lançado num alvo	реактивный снаряд, ракета, метательный снаряд	cohete, arma arrojadiza, bomba teledirigida, misil, proyectil, proyectil teledirigido	missil, robot; slungad sten; kastat föremål, kastvapen	สิ่งที่ขว้าง ปา หรือยิงออกไป เช่น ก้อนหิน จรวด	mermi, füze, atılan şey, ok
mobility	n.	6254	5900	moʊbˈɪləti	N/A	N/A	تحركية, تنقلية	可动性, 流动性, 机动性	Beweglichkeit; Motorisierung; Mobilisierung; Veränderung	κινητικότητα, ευκινησία	movability; ability to move; portability; agility; ability to change	mobilité; mouvement; mise en marche; agilité, facilité de mouvement; modification	mobilità	可動性; 移動性; 移動度; 機動力; 移り気	이동성; 운동성; 기동성; 유동성; 변화할 수 있슴	beweeglijkheid, mobiliteit, losheid, levendigheid	mobilidade; instabilidade; volubilidade; facilidade de se mover	подвижность, мобильность, маневренность, изменчивость, непостоянство	movilidad	mobilitet; rörelse; rörlighet; lättrörlighet; förändring	การเคลื่อนที่ได้ง่าย การเปลี่ยนแปลงได้รวดเร็ว	hareketlilik, değişkenlik, akışkanlık
modification	n.	7726	5412	mˌɑdəfəkˈeɪʃən	modifications	N/A	تغيير, تعديل, تحول, تقييد المعنى, تكيف	修正, 修饰, 修改	Ab-, Veränderung; Einschränkung; Anpassung	μετασχηματισμός, τροπολογία, τροποποίηση	change, adjustment, agreement; adaptation; restriction; qualification (Grammar); moderation; process of being modified	modification; conformité, accommodation; changement, acclimatation; délimitation	modificazione; variante	修正; 修飾	변화, 조정, 일치; 제한; 적응;변형(문법); 수정	wijziging; verzachting	modificação; variação; alteração; mudança; limite	видоизменение, перегласовка; умляут; поправка	modificación, alteración, cambio, rectificación	modifikation, ändring, modifiering, anpassning; förändring, växling; bestämning, bestämningsord (grammatik)	การเปลี่ยนแปลง การแก้ไข	değiştirme, değişiklik
mole	n.	13061	16327	mˈoʊl	moles	N/A	حاجز الامواج, مرفأ, الخلد, حيوان اكل الحشرات, خال, شامة, الجنين الكاذب	痣, 鼹鼠, 防波堤, 摩尔, 克分子	Leberfleck, Mutterfleck, Pigmentfleck; Maulwurf; Mole; künstlicher Hafen; Doppelagent	εληά τού δέρματος, κηλίδα του δέρματος, κρεατοελιά, τυφλοπόντικας, ασπάλακας, κυματοθραύστης, μόλος, μώλος	brown spot on the skin which often raised, birthmark; burrowing rodent (Zoology); double agent; breakwater structure; molecular weight of a substance (Chemistry)	taupe; verrue, tache, grain de beauté; taupe; agent double (familier), "taupe"	neo	モグラ; ほくろ; 防波堤	갈색의 출생점; 두더지(동물학); 이중간첩; 방파제; 중량의 단위인 몰(화학)	vlek, moedervlek; mol; (bijnaam voor) spion; golfbreker	verruga, mancha, sinal de nascença; toupeira; espião duplo; quebra-mar	родинка, родимое пятно; крот; мол, дамба; моль [хим.], грамм-молекула [хим.]	topo; lunar	födelsemärke, leverfläck; mullvad; vågbrytare; (smeknamn för) dubbelagent; pir	กำแพงหินที่สร้างในทะเล กำแพงหินกั้นน้ำ, หลักหรือท่าเรือที่ก่อเป็นกำแพงหิน	ben, ben [anat.], köstebek, dalgakıran, mendirek, mol, grammolekül
molecular	adj.	6565	3913	məlˈɛkyəlɜ	N/A	N/A	جزيئي, جزيء	N/A	molekular	μοριακός, των μόριων	of or pertaining to molecules, composed of molecules	moléculaire (relatif aux molécules; composé de molécules)	(Chim, Fis) molecolare	分子の	분자의, 분자로 된	moleculair	molecular (das moléculas, composto de moléculas)	молекулярный	molecular	molekylär (angående molekyler, sammansatt av molekyler)	เกี่ยวกับโมเลกุล	moleküler, moleküllü
molecule	n.	10466	10998	mˈɑləkyˌul	molecules	N/A	مثقال ذرة	分子, 些微	Molekül	μόριο	smallest unit in a substance or compound (usually composed of one or more atoms); tiny particle	molécule, graine	(Chim, Fis) molecola; (fig) pezzetto, piccolissima parte	分子; 微粒子; 微量	분자	molecule	molécula	молекула	molécula	molekyl	โมเลกุล อณูของสารประกอบ	molekül, zerre
momentum	n.	8337	9018	moʊmˈɛntəm	momentums	N/A	زخم, نشاط, لحظة عاطفية أو نفسية قادرة, قوة دافعة, كمية التحرك الدافعة	动力, 动量	Impuls; Bewegungsgröße; Schwungkraft	ταχύτητα κίνησης, ορμή κίνησης, ορμή	force of movement; product of the mass of a body of matter multiplied by its velocity (Physics, Mechanics); strength or motivation derived from an initial effort	élan, élévation, moment (d'une force)	velocità; (fig) impeto, slancio; (Mecc) quantità di moto	運動量; 勢い	운동량; 움직이는 물체의 타성(물리학, 기계역학)	hoeveelheid beweging, impuls	momento, produto da massa de um corpo pela velocidade de seu deslocamento (Física); força, ímpeto, pique propiciado por condições favoráveis	инерция, количество движения, импульс, кинетическая энергия, движущая сила, толчок, момент, механический момент	momento, cantidad de movimiento, dinamismo, ímpetu, impulso, progresismo	ansats; rörelsemängd	ปริมาณการเคลื่อนที่ของวัตถุที่วัดได้จากมวลของวัตถุคูณด้วยความเร็วในการเคลื่อนที่ของวัตถุ โมเมนตัม	moment
monetary	adj.	3457	6974	mˈɑnətˌɛri	N/A	economic financial fiscal pecuniary	مالي, متعلق بالعملة, نقدي, عملي	N/A	monetär; Geld-, Währungs-	χρηματικός, νομισματικός	pertaining to money, fiscal	monétaire, relatif ou qui appartient à l'argent, financier; fiscal	monetario, valutario; pecuniario; finanziario, economico	貨幣の; 金銭上の; 財政上の	화폐의, 금융의	monetair	monetário, pecuniário	денежный, монетный, валютный	monetario, crematístico, financiero, fiscal, pecuniario	monetär, mynt-, penning-	เกี่ยวกับเงินตรา เกี่ยวกับตัวเงิน, เกี่ยวกับการเงิน, เกี่ยวกับอัตราแลกเปลี่ยนเงินตรา	para, para ile ilgili, parasal
monkey	n.	12518	6181	mˈʌŋki	monkeys monkeyed monkeying	N/A	قرد, سعدان, النسناس, أنثى القرد, ولد مؤذي	猴子, 猿, 打桩锤	Affe; Schlingel, Frechdachs; $ 500 (umgangssprachlich)	πίθηκος, μαϊμού	type of agile tree-dwelling mammal of the order Primates (not including humanoid apes, lemurs, or humans); mischievous child or person; 500 Pounds Sterling (British Slang)	singe; espiègle, polisson (surnom); billet de 500 livres en Angleterre (familier)	scimmia; (fig) scimmiotto, monello, birbante, birichino; (tecn) mazza battente; (sl) cinquecento sterline; cinquecento dollari	サル; いたずら小僧; 500ポンド	원숭이; 장난꾸러기; 500 파운드(영국)	aap; (koosnaampje voor) ondeugd; 500 lire sterling	macaco; levado (apelido)	обезьяна; шалун, проказник, кривляка [разг.]; пятьсот фунтов стерлингов, пятьсот долларов; копровая баба [тех.]; тележка подъемного крана [тех.]; закладная	mono, cefo, mico, simio; apodo a las 500 liras esterlinas (en Iglaterra)	apa; rackarunge (tillnamn); 500 pund (i Storbritannien)	N/A	maymun, şahmerdan başı
monopoly	n.	5458	11933	mənˈɑpəli	monopolies	N/A	إحتكار مطلق, سلعة محتكرة	垄断, 专卖权, 独占事业	Monopol (Recht auf Alleinhandel u. -verkauf: Vorrecht)	μονοπώλιο, μονοπόλιο	exclusive control of a commodity or service in a particular market; total access or privilege to the exclusion of competitors	monopole, situation de droit ou de fait dans laquelle on est seul à même de fabriquer, d'exploiter ou de vendre; contrôle exclusif, privilège absolu	(Econ) monopolio; genere di monopolio; privilegio monopolistico; prerogativa, diritto riservato	独占, 占有; 専有; 独占物; 専売事業	전매, 독점; 전매권	monopolie, alleenrecht	monopólio, direito ou privilégios exclusivos	монополия	monopolio, acaparamiento, monopolización	monopol, ensamrätt	ระบบผูกขาด เอกสิทธิ์	tekel
morality	n.	6997	12947	mˌɔrˈælətˌi	moralities	N/A	أخلاقية, فضيلة, درس أخلاقي, مذهب في الأخلاق	道德, 教训, 品行	Sittlichkeit; Moral (ität); Morallehre; Moralität (en)	ηθική, ηθικότης, ηθικότητα	integrity; ethics; chastity; conformity to accepted rules of conduct	moralité, intégrité; éhique: enseignement moral	moralità, probità; castigatezza; moralità eticità; morale, sistema morale	道徳; 道徳性; 道徳律; 教訓; 規範	정직; 윤리학; 사회의 풍기, 도덕; 정조	moraliteit, zedenleer, moraal	moralidade, de moral	мораль, нравоучение	moralidad, ética	moralitet, moraliskt värde, hederlighet	จรรยา หลักศีลธรรม, หลักประพฤติปฏิบัติ	ahlâk, törellik
morphological	adj.	19116	22547	mˌɔrfəlˈɑdʒɪkəl	N/A	N/A	N/A	N/A	morphologisch	μορφολογικός	of morphology, pertaining to the study of form and structure	morphologique, relatif à la morphologie	morfologico (della morfologia, della forma)	形態上の	형태학의	van de morfologie, morfologisch	morfológico, da morfologia	морфологический	morfológico	morfologisk, angående formläran	เกี่ยวกับโครงสร้างของสัตว์และพืช	morfolojik
morphology	n.	21186	16597	mɔrfˈɑlədʒi	N/A	N/A	علم التشكل المورفولوجيا	形态学, 词法, 形态	Morphologie	μορφολογία	study of form and structure; science which deals with structure and form of plants and animals (Biology); study of the form and structure of word formation (Linguistics)	morphologie, étude des formes et de la structure; science qui traite de la structure et forme des animaux et des plantes (apparence extérieure) (Biologie); étude de la variation de forme et des mots dans la phrase (Linguistique)	(Biol) morfologia; (Gramm) sistema morfologico	形態学; 形態論（生物学）; 語形論（言語学）	형태학; 동물이나 식물의 구조와 형태를 다루는 학문 (생물학); 어형론(언어학)	morfologie	morfologia (ciência das formas na lingüística; pesquisa de formas e corpos)	морфология	morfología	morfologi (formlära inom språkvetenskap; läran om former och strukturer inom grammatik)	วิชาว่าด้วยการศึกษารูปร่างสัตว์และพืช วิชาการศึกษารูปร่างหิน, วิชาการศึกษาการผันคำ-คำพูด	morfoloji, şekilbilim
mortality	n.	4161	6705	mɔrtˈæləti	mortalities	N/A	معدل وفيات الاطفال, معدلات الموت, معدل الوفيات, نسبة الوفيات, الموت الجماعي	必死的命运, 死亡数目, 死亡率	Sterblichkeit (sziffer); Mensch (heit)	θνητότης, θνητότητα, θνησιμότης, θνησιμότητα	state of having a limited life span; rate of death	mortalité; taux de mortalité	l'essere mortale; mortali, umanità, genere umano; alta mortalità, gran numero di morti	死すべき運命; 死亡者数; 死亡率	생명의 한계가 있슴; 사망율	sterftecijfer; sterfelijkheid	mortalidade	смертельность, смертность, летальность	mortalidad, mortandad	dödlighet; mortalitet, dödlighetsprocent	อัตราการตาย จำนวนผู้ตาย	ölümlülük, ölüm oranı, insanlık, insanoğlu
motif	n.	12242	13929	moʊtˈif	motifs	pattern logo idea subject shape theme image ornamentation topic design decoration	فكرة رئيسية, الباعث, عنصر, حافز, موضوع, سبب, عزر, رسم متكرر, فكرة	主题, 基调, 动机, 基本图案	Leitmotiv	κεντρική ιδέα, μοτίβο	main idea, predominant subject, recurring theme; unique design (of a piece of art, music, book, etc.)	motif, idée centrale, sujet central	motivo, tema, elemento dominante; disegno	主題; 中心的図形; 動機; 刺激	주제; 독특한 디자인	centraal idee, motief	tema, motivo, idéia principal, assunto principal	основная тема, лейтмотив, главная мысль, кружевное украшение	motivo, causal, causante, tema	motiv, tema, huvudämne	บรรทัดฐาน มาตรฐาน, ลักษณะเด่น	motif, örge
motive	n.	7735	16874	mˈoʊtɪv	motives	N/A	محرك, دافع, حافز, سبب, قصد, باعث, تقوية	动机, 目的, 主题, 基调	Motiv, Veranlassung	κίνητρο, μοτίβο, ελατήριο, αίτιο, αφορμή	something that causes a person to act, cause, incentive, purpose, intention; motif	motif, mobile	motivo, movente, ragione	動機; 主題	동기, 어떤 행동을 야기하는 것, 목적, 의도; 모티프, 작품의 주제	oorzaak; motivering	motivo, causa	повод, мотив, побуждение, движущая сила, основная тема, лейтмотив, главная мысль	motivo, causa, ocasión, principio, razón; móvil, causante	motiv, anledning	N/A	güdü, dürtü, âmil, hareket ettirici, neden
multi	N/A	60339	1498	mˈʌlti	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
multinational	adj.	12057	16105	mˌʌltˌaɪnˈæʃənəl	multinationals	global worldwide conglomerate transnational transnational international cosmopolitan corporation	متعدد الجنسيات	N/A	multinational; international	πολυεθνικός	of many nations; composed of several nationalities; pertaining to a multinational company	multinational	multinazionale	多国家の; 多国籍の	다국의; 다국적 기업의	multinational, wereldconcern	multinacional	многонациональный	multinacional	multinationell	เกี่ยวกับหลากหลายประเทศ	çok uluslu
multiply	v.	17964	14329	mˈʌltəplˌaɪ	multiplies multiplied multiplying	N/A	تواجد, تضاعف, كثر, ضاعف, ضرب, ازداد, تناسل	N/A	multiplizieren	αυξάνομαι, πολλαπλασιάζω, πολλαπλασιάζομαι	N/A	multiplier; accroître, s'accroître, croître et multiplier; reproduire, procréer, engendrer; proliférer; augmenter le nombre	moltiplicare	掛ける; 掛け算をする; 増大させる; 繁殖させる	(수학) 곱하기를 하다; 증가 시키다; 번식하다	vermenigvuldigen; meer worden	multiplicar; aumentar; proliferar, crescer e multiplicar	умножать, увеличивать, размножать	multiplicar, redoblar	multiplicera; öka, mångfaldiga; ökas, mångfaldigas; föröka sig	N/A	çarpmak, çoğaltmak, türemek, çoğalmak
mutation	n.	13710	11520	myutˈeɪʃən	mutations	metamorphosis transformation change transmutation alteration	تحول, تغير, التغير الإحيائي, تغير هام	变化, 突变, 元音变化	Mutation, Wandel	αλλαγή, μεταβολή των χαρακτηριστικών γένους, μεταλλαγή	act of mutating; change, alteration; state of having inheritable traits that differ from those of the parent; umlaut (Phonetics)	mutation, changement, élévation	mutamento, cambiamento, mutazione; alterazione, trasformazione; (Fon) metafonia, metafonesi	突然変異; 母音変異; 変化	변이; 변화; 돌연변이; 모음변화(음성학)	verandering, mutatie	mudança, transformação, mutação	изменение, превратность, мутация, мутант, перегласовка	mutación, metamorfosis, transformación	mutation, förändring, skifte	สิ่งที่เปลี่ยนแปลง สิ่งที่เปลี่ยนรูป	mutasyon, değişim, dönüşüm
myth	n.	6091	8853	mˈɪθ	myths	N/A	أسطورة, خرافة, شخص خرافي, الأساطير جملة	神话, 虚构的事, 虚构的人	Mythos; Legende, Sage	μύθος	traditional story about supernatural beings or imaginary people that narrates a common belief or explains some natural phenomenon; fable, folk tale; legendary character; commonly held but unsubstantiated belief	mythe; légende; fable; fiction	mito; miti, mitologia; (fig) leggenda; figura mitica	神話; 作り話; 御伽噺	신화; 동화, 전설; 신화적 인물	sprookje; leugen; mythe	história lendária; ficção; mito	миф, несуществующая вещь, вымысел	mito, leyenda	myt; saga; osann historia	เรื่องโกหก เรื่องหลอกลวง, เรื่องที่แต่งขึ้น	mit, efsane, hayali şey
