英単語,訳,発音,解説,用例,用例・訳
overtime,"【名/U】超過勤務（時間）；超過勤務手当；延長（時間）【形】時間外の,超過勤務の【副】時間外で；時間を超過して【動/他】に時間をかけすぎる",ˈoʊvərˌtaɪm,"【名/U】超過勤務（時間）；超過勤務手当
（勝負が決まらない時の）延長時間,延長戦
【形】超過勤務の；規定時間外の
【副】規定時間外に；勤務時間を超過して
【動/他】に時間をかけすぎる",He stayed late and worked overtime.,彼は遅くまで残って残業した。
overview,概要,ˈoʊvərˌvju,"概観,大要",It is important to overview the economic status of these groups before examining the proposed solutions.,提案されている解決策を検討する前に、これらのグループの経済学的地位を概観しておくことが重要である。
overwhelm,圧倒する,ˌoʊvərˈwɛlm,"…‘を'『圧倒する』,‘に'打ち勝つ 
《通例受動態で》(精神的・感情的に)<人>‘を'打ちのめす,参らせる 
(波がおおいかぶさるように);‘を'すぽりと飲み込む(おおう)",We overwhelmed the many enemies.,我々はたくさんの敵をやっつけた。
packet,パケット；パッケージ；包装；袋,ˈpækət,"(小さい)包み;小荷物 
(またpacket boat)(郵便・旅客・貨物などを運ぶ)定期船,郵便船 
《英俗》大金",This instant soup comes in individual packets.,このインスタントスープは１つ１つ包みの中に入っている。
pact,【名/C】協定 / 条約,pækt,"協定(agreement),条約(treaty)","Then people will say we killed ourselves in a suicide pact and nobody will praise us.
","その時は、アレ二人心中ぢやと、誰がお前を褒めますぞえ
"
painful,痛い,ˈpeɪnfəl,"(肉体的・精神的に)『痛い』,苦痛の 
人を苦しめる,やっかいな","Recently my haemorrhoids, which I've had from before, are painful.",最近、以前からある痔が痛みます。
pan,鍋；酷評；(be ~ed)酷評される,pæn,"(通例ふたのない片柄の)『平なべ』 
平なべ状の物;(はかりなどの)皿;(砂金などを砂利から分ける)選鉱なべ 
硬質地層 
…‘を'平なべで煮る 
〈砂金など〉‘を'えり分ける,選鉱する《+『off』(『out』)+『名,』+『名』+『off』(『out』)》 
《話》…‘を'こきおろす,酷評する 
(…を得るために)選鉱なべで洗う《+『for』+『名』》",He is such a tidy person. Every pot and pan is in its place.,彼は非常にきちんとした人なので、すべての鍋類はあるべき場所に整理されている。
par,同等；同位；等価；パーで上回る,pɑr,"〈U〉同等,同価,同水準,同程度 
(また『par value』)〈U〉平価,額面価格 
〈U〉(程度・質・状態・数量などの)平均,標準;(精神・健康などの)常態 
〈C〉(ゴルフで)標準打数,パー 
《名詞の前にのみ用いて》平均の,標準の 
額面の",That's par for the course with teenagers.,十代の子供だったら普通だよ。
parameter,パラメーター,pəˈræmətər,"(数学で)媒介変数,補助変数 
(統計で)母数","Wha? Study, reflexes, all the parameters are MAX! You've even saved money up to the limit ... Amazing.",うわっ？これ、勉強に運動神経、全てのパラメータがMAXじゃないか！おまけにお金もカンストするまで貯まってる・・・すげえ。
paramilitary,"【形】準軍事的な,予備軍の役目をする；非合法の軍事組織の【名/C】非合法な軍隊の兵士；軍補助的な団体のメンバー",ˌpɛrəˈmɪləˌtɛri,"【形】準軍事的な,予備軍の役目をする
非合法の軍事組織の
【名/C】非合法な軍隊の兵士
軍補助的な団体のメンバー","Ishida Sanyaku was medical powder made and sold by the home of the parents of Toshizo HIJIKATA, a vice chief of the Shinsengumi (a paramilitary group of pro-shogunate ronin formed in Kyoto).
","石田散薬（いしださんやく）とは新選組の副長、土方歳三の生家が製造、販売していた薬。
"
parity,同等であること；類似；パリティ；偶奇性；奇遇性,ˈpɛrəti,"同等,均等,類似 
(他国通貨との)等価,平価","Once each country determines an exchange rate between home currency and gold, the parity of gold becomes automatically fixed, and the currency authority in each country introduces monetary policy, which is adjusted to the financial situation to sustain the parity of gold.
","各国がいったん自国通貨と金との交換比率を決定すると金平価も自動的に決定され、各国通貨当局は金平価を維持させるために、国内の金融政策が追随する形をとる。
"
parliament,"議会,国会,英国議会,(議会の)会期",ˈpɑrləmənt,"『議会』,『国会』 
《通例P-》《英》議会",The premier announced his intention to undertake drastic reforms in parliament.,首相は議会の抜本的な改革に着手するつもりがあることを表明した。
parliamentary,議会の,ˌpɑrləˈmɛntəri,"議会の,議会に関する 
議会の規則に従った,議会方式の;議会で制定された",Parliamentary activity has become a political tug of war between the ruling and opposition parties over the issue.,国会の動きはこの問題をめぐる与野党間の政治的綱引きとなった。
partial,"【形】一部分の,部分的な；不完全な；不公平な,偏った；《Aが》特に好きで《be ~ to A》",ˈpɑrʃəl,"【形】(また『part』)『一部分の』,部分的な;不完全な 
不公平な,偏った 
《補語にのみ用いて》《Aが》特に好きで《be ~ to A》",She is in partial agreement with this decision.,彼女はこの決定に部分的に同意している。
partially,部分的に,ˈpɑrʃəli,"部分的に,一部分 
不公平に,偏って","Version 1.0 of this document was prepared December 10, 2003 to partially fulfill the requirements for MIT 6.806: Ethics and Law on the Electronic Frontier, 
","本 文書 の バージョン 1 . 0 は 、 MIT 講義 6 . 806 : 「 電子 フロンティア における 倫理 と 法 」 の 修了 要件 を 部分 的 に 満たす べく 2003 年 12 月 10 日 に 書か れ た 。
"
particle,粒子,ˈpɑrtəkəl,"小片,(ごく)少量,微量 
粒子 
不変化詞(冠詞・前置詞・接続詞・感嘆詞など語形変化のない語);小詞,小辞","Based on my observation of the movement of particle D, I modify the system so that three possible exits exist.",分子Ｄの運動の観察に基づき、可能な出口が３つ存在するようシステムに変更を加える。
partition,衝立；分離；衝立で仕切る,pɑrˈtɪʃən,"〈U〉(…の)分割,区分《+『of』+『名』》 
〈C〉(分割された)部分 
〈C〉仕切り壁 
(…に)…‘を'分割する,分配する《+『名』+『into』+『名』》 
…‘を'仕切る,区切る《+『off』+『名,』+『名』+『off』》",The bullet penetrated the partition.,弾丸は仕切り壁を貫いた。
passive,"受動的な,受け身の,消極的な；無抵抗の；受動態",ˈpæsɪv,"『受動的な』,消極的な 
服従的な,言いなりになる 
(文法で)受動態の,受身の 
《the~》受動態,受身の構文 
動詞の受動形",He has a passive character.,彼は消極的な性格だ。
passport,旅券；通行許可証；確実な手段,ˈpæˌspɔrt,"『旅券』,パスポート 
《単数形で》(…への)手段,便法《+『to』+『名』》","Oh, no! My passport is gone!",大変だ、パスポートがなくなった！
patch,パッチ；部分；斑点；継ぎ当て,pæʧ,"(補修・補強のための)『つぎ当て』;当て布;当て板,当て金;(アップリケで縫いつけた)布切れ 
(傷口などを覆う)『傷当て』 
(色などが周囲と区別できる)(…の)まだら,班点;断片,破片《+『of』+『名』》 
小さな地面(畑) 
(補修・補強のために)…‘に'『つぎ当てる』;(装飾のために)…‘に'当て布をする 
…‘を'つぎ合わせて作る",The field was patched with snow,野原は、雪で覆われた
patent,特許,ˈpætənt,"『特許』,特許権,パテント 
『専売特許品』,特許となっている製法 
専売特許証 
(一般に特権などを授ける)公式証書 
《名詞の前にのみ用いて》専売特許の 
《名詞の前にのみ用いて》《英話》賢い,独特な,まねのできない 
明白な 
…‘の'特許[権]を取る 
…‘に'特許[権]を与える",Hans sold the patent to a company.,ハンスさんが会社へ特許権を売りました。
payable,支払い可能,ˈpeɪəbəl,"(金を払っても)採算のとれる 
《補語にのみ用いて》(…に)支払われるべき《+『to』+『名』》",Checks should be made payable to the ABC Company.,小切手はＡＢＣ社あてに支払われるように振り出してください。
payback,"【名/C】元金回収期間；《投資への》払戻金；報酬,見返り【U】仕返し,報復",ˈpeɪˌbæk,"【名/C】元金回収期間
《投資への》払戻金；報酬,見返り
【U】仕返し,報復","payback : financial return or reward (especially returns equal to the initial investment)
Relations",ペイバック：財政的なリターンまたは報酬（特に初期投資と等しい収益）
payoff,精算,ˈpeɪˌɔf,"(給料,借金,掛け金などの)支払い;支払日 
(悪事の)報酬,わいろ 
(一連の行為などの)結末,(話の)やま 
(悪事の)報い,罰","The payoff from these simple measures was immediate.
","こういう 単純 な 方法 の 見返り は すぐ に やってき た 。
"
payout,"【名/C】支出金,支払金",ˈpeɪˌaʊt,"【名/C】支出金,支払金
《保険金・賞金などの》大金","Tokuma, like all previous Japanese studios, was unwilling to invest substantially in the American market without a guaranteed payout.
","それ まで の 日本 の スタジオ すべて と 同じく 、 徳間 も 見返り が 保証 さ れ ない 限り 、 大 規模 に アメリカ 市場 に 投資 する つもり は なかっ た 。
"
payroll,給与計算,ˈpeɪˌroʊl,"給料支払い薄 
《単数形》給料支払い総額",the deadheads on the payroll should be eased out as fast as possible,役に立たない従業員は、出来るだけ早く辞職すべきである
peaceful,【形】平和な；平和的な；穏やかな；静かな,ˈpisfəl,"【形】『平和な』,平和的な,平和を好む 
『穏やかな』,静かな",They are moving from the peaceful hills and the countryside to the busy world of streets and crowds.,平和な丘や田園地帯から、通りがあり群衆がいる忙しい世界へと移動するのである。
peacekeeping,平和維持,ˈpiˌskipɪŋ,"平和維持;(国連軍などの)平和維持活動 
平和維持のための",the peacekeeping force includes one British contingent,平和維持軍は英国の分遣隊を含んでいる
peg,フック；かけ釘；きっかけ；ペグ,pɛg,"(木などの,おもに木工に用いる)『くぎ』,掛けくぎ;(たるなどの)『せん』;(テントなどの)『くい』 
(弦楽器の弦をしめる)ねじ 
《話》(評価などの)段階)degree) 
(議論などの)きっかけ,口実 
《話》(おもに野球で)送球 
…‘を'『木くぎ』(『くい』)『でとめる』,‘に'木くぎ(木くい)を打つ《+『名』+『down』,+『down』+『名』》 
〈物価・賃金など〉‘を'仰える,安定させる 
《話》(おもに野球で)〈ボール〉‘を'投げる 
《話》…‘を'認める,見定める","The meaning of the 'dollar peg' is ""stick with the strong countries.""",ドルペッグの意味は、強い国につけということです。
pending,保留中,ˈpɛndɪŋ,"未決定の 
差し迫った 
…間に(during) 
《文》…まで(till)","For one month previous to this, I had been rooming in a boarding house in Kanda-ku, pending a decision as to my future course.
","おれ は 一 ヶ月 以前 から 、 しばらく 前途 の 方向 の つく まで 神田 の 小川町 （ お が わ まち ） へ 下宿 し て い た 。
"
pensioner,年金受給者,ˈpɛnʃənər,恩給(年金)受給者,"She's a widow and a pensioner, and faces many hardships.",年金をもらって生活している。いろいろ苦労もあったのだろう。
performer,出演者,pərˈfɔrmər,"《修飾語を伴って》実行する人,遂行する人 
演奏者,上演者;(特に)芸人",The audience applauded the performer.,聴衆は演奏者に拍手を送った。
periodic,"【形】定期的な,周期的な；ときぎき起こる",ˌpɪriˈɑdɪk,"【形】定期的な,周期的な 
ときぎき起こる: 
掉尾(とうび)的の:","The foundation lay in the system such as handen shuju sei (a system of periodic reallocations of rice land), koseki (the household registers) and so on.
","その基盤となったのは班田収授や戸籍などの制度である。
"
periodically,【副】定期的に；周期的に,ˌpiriˈɑdɪkəli,【副】定期的に；周期的に；一定期間ごとに,"who would periodically send him interesting tapes. 
","かれ ら は 時々 おもしろい テープ を 送っ て き た 。
"
permanently,永久に,ˈpɜrmənəntli,"永久に,不変に",a man whose name is permanently stamped on our maps,地図上に永久に刻まれる名前の男性
perpetual,永久的な,pərˈpɛʧuəl,"『永久の』,『永遠に続く』 
終身の 
『絶え間のない』",Lifelong education means perpetual retraining.,生涯教育は絶え間ない再訓練を意味する。
persist,【動/自】持続する、やり通す,pərˈsɪst,"(困難・障害に屈せず)『あくまでも続ける』(『やり抜く』),がん張る,固執する 
『存続する』,生き残る",She persists in her belief.,彼女は頑として信念を曲げない。
persistent,持続的,pərˈsɪstənt,"(反対・困難にもくじけず)『あくまでもやり抜く』,ねばり強い,執ような 
いつまでも続く,持続する(lasting)",She is persistent though she doesn't look so.,彼女は見かけによらず頑張りやだ。
peso,ペソ,ˈpeɪsoʊ,ペソ(メキシコ・キューバ・フィリピンなどの貨幣単位;《略》『P.』),"Not only the military currency in Japanese yen used during the China-Japan battles, but also other kinds of military currency in various currency units such as peso and guilder were issued in the Japan-occupied areas.
","中国戦線で使用した日本円以外にもペソやギルダーなどのさまざまな通貨単位の軍用手票が各占領地で発行された。
"
pet,愛玩動物；大好きな；お気に入りの；支持している,pɛt,"『愛がん動物』,ペット 
《単数形で》お気に入りの人(物) 
(動物などが)愛がん用の,ペットの 
(名前などが)愛情を表す 
お気に入りの;お得意の 
…‘を'愛撫(あいぶ)する,かわいがる","""Pet loss"" refers to the reactions of shock and anger that occur in owners who have been bereaved of their pets.",ペットロスとは、ペットを失った飼い主に起きるショックや怒りなどの反応をいう。
petition,嘆願,pəˈtɪʃən,"(正式の)『請願書』,陳情書 
『請願』,陳情 
…‘に'『請願する』,陳情する 
(…を)『請願する』,陳情する《+『for』+『名』》",He will hold a sit-in in front of the Diet and petition members of the Diet from 11:00 a.m to 1:00 a.m.,彼が国会前座り込みと議員要請行動を１１時から１時の間に行います
petrol,ガソリン,ˈpɛtroʊl,=gasoline,Can you spare me a few liters of petrol?,石油を２、３リッターばかり融通してもらえますか。
petty,ささいな,ˈpɛti,"『取るに足らない』,重要できない 
『下級の』 
心の強い,狭量な",the discouragement of petty theft,けちな盗みに対する落胆
pharmaceutical,【形】製薬の　【名/C】薬剤,ˌfɑrməˈsutɪkəl,"調剤の,製薬の,薬学の 
調合薬,薬剤(drug)","However, now two pharmaceutical companies produce and sell budoshu.
","しかし、現在では製薬会社2社が製造販売している。
"
physically,物理的に,ˈfɪzɪkəli,物質的に;身体上;物理的に,Women are physically weaker than men.,女性は体力的には男性より弱い。
physician,医師；内科医,fəˈzɪʃən,『医者』;(特に)『内科医』,There's no reason why I should become a physician because my father is one.,父が医者だからといって僕も医者にならなければならぬ理由はない。
physics,物理,ˈfɪzɪks,『物理学』,She has little knowledge of physics.,彼女には物理の知識がほとんどない。
pill,錠剤；経口避妊薬,pɪl,"『丸薬』;《the pill》《話》ピル(経口避妊薬) 
(耐えなければならない)不快なこと,苦しいこと 
《通例単数形で》《俗》いやなやつ",I have to take two pills every six hours.,私は６時間ごとに２粒飲まなければなりません。
pin,ピン；ピンで留める；組み伏せる；なすりつける；期待をかける,pɪn,"『ピン』・留め針・《しばしば複合語を作って》ピンの働きをする物 
(留め針の付いた)『記章』,『バッジ』 
(木・プラスチック・金属などの)留めくぎ,掛けくぎ(peg);(弦楽器の)糸巻き 
《複数形で》《英話》脚(legs) 
《a~》《否定文で》ほんのわずか 
(ゴルフ・ボウリングの)ピン 
(…に)…‘を'『ピンで留める』《+『名』+『to』(『on』)+『名』》 
(人・物事に)〈望み・信頼など〉‘を'かける《+『名』+『on』+『名』》 
(…に)…‘を'動けなくする《+『名』+『against』(『to, under』)+『名』》 
《話》〈罪・過失など〉‘を'(人の)せいだとする《+『名』+『on』+『名』〈人〉》",You might hear a pin drop.,針の落ちる音も聞こえるほどの静けさだ。
pioneer,先駆者；開拓者；開拓する,ˌpaɪəˈnɪr,"(未開地の)『開拓者』 
(研究・事業などの)『駆者』,開拓者《+『in』(『of』)+『名』》 
(先発して本隊のために道路や橋を作る)工兵 
先駆動物(植物)(動・植物のなかった地域に最初にはいり定着した動・植物) 
〈土地など〉‘を'開拓する,開拓して定住する 
〈研究・事業など〉‘を'開拓する,創始する 
(新しい土地の)開拓者となる《+『in』+『名』》 
(…において)先駆者となる《+『in』+『名』(do『ing』)》","Pioneer men and women had a hard life, and so did their children.",開拓者達は辛い生活をしたし、彼等の子供もそうだった。
pipeline,送油菅；機密ルート；パイプライン,ˈpaɪˌplaɪn,"(石油・ガスなどの)輪送パイプ 
《米》情報ルート 
〈石油など〉‘を'パイプラインで運ぶ","(ii) When the high pressure gas is imported by unloading through pipeline from a ship;
","二　船舶から導管により陸揚げして高圧ガスの輸入をする場合
"
pit,穴；採石場；くぼみ；ピット,pɪt,"(自然の,または掘った)『地面の穴』,『くぼみ』 
《しばしば単数形で》《the pit》立て坑,採掘場 
落とし穴 
《単数形で》《the pit》《英》(劇場の)平土間(1階正面後部の安い料金の席全体を指す);平土間の観客;《米》(舞台手前の1段低くなった)オーケストラ席 
(身体や物の表面の自然にできた)くぼみ 
《しばしば複数形で》(傷・天然痘などでできた皮膚の)小さなくぼんだ跡,あばた 
(動物を入れておく)囲い;闘鶏場(cockpit),闘犬場 
《the ~》地獄(hell) 
ピット 
自動車修理店などで,車体の下で作業するために床に設けたくぼみ 
《the pits》自動車レースで給油・タイヤ交換などの場所 
…‘に'点々と穴をあける;…‘を'あばたにする 
(…と)…‘を'取り組ませる,対坑させる《+『名』+『against』+『名』》",a British term for `quarry' is `stone pit',『quarry（採石場）』に対する英国の用語は『stone pit』である
pizza,ピザ,ˈpitsə,"ピッツァ,ピザ(チーズ・トマトなどをパイ皮にのせて焼いた料理)",I feel like having some pizza tonight.,私は今晩、ピザを食べたい。
placement,配置,ˈpleɪsmənt,"置くこと,配置 
職業紹介 
(アメリカンフットボールで)プレーキックのためボールを地に置くこと",the agency provided placement services,その仲介業者は就職斡旋の業務を行った
plague,ペスト,pleɪg,"(死亡率の高い)『疾病』,流行病,悪疫;《the ~》(特に)ペスト 
(広い地域に及ぶ)(…の)災い,災難,(いやなものが)はびこること《+『of』+『名』》 
《話》やっかいな人(もの),悩みの種 
(…で)…‘を'『悩ます』《+『名』+『with』+『名』(do『ing』)》",A worldwide plague of theft emptied museums.,世界的な美術品窃盗という疫病が美術館をからにしてしまった。
plainly,はっきり,ˈpleɪnli,"『はっきりと』,明白に 
『率直に』,ありのままに 
『簡素に』,質素に","Clown emphasized, for what reason I do not know the word ""grasshopers"" so that it would be sure to reach my ear plainly, and he blurred the rest on purpose.
","野 だ は 何 の ため か バッタ と 云う 言葉 だけ ことさら 力 を 入れ て 、 明瞭 （ めいりょう ） に おれ の 耳 に はいる よう に し て 、 その あと を わざと ぼかし て しまっ た 。
"
plaintiff,原告,ˈpleɪntəf,(訴訟の)原告,The judge decided against the plaintiff.,裁判官は原告に不利な判決を下した。
planner,計画者；立案者；スケジュール表,ˈplænər,"計画者,立案者","At this point in time, it was known by Korean military planners that the most powerful inhabitants of Tsushima were away on voyages to Ming China and elsewhere, and moreover as the invasion was launched they ordered the simultaneous internment of all Japanese merchants living and operating within Korea, revealing how carefully they had planned this assault to take advantage of the weakness of Tsushima's defensive preparations and target the general population (not only the Wako).
","この時期は対馬の有力者が明などに渡航し不在であることを知り、また同時に朝鮮国内の在留商人らを一斉に抑留するなど、防備の弱体に乗じ一般民衆を標的にした周到な計画であったことが知られる。
"
plausible,もっともらしい；口先のうまい；見込みのある,ˈplɔzəbəl,(話などが)もっともらしい;(人が)口先じょうずな,A more plausible proposal is the one Leech presented in conjunction with Emmet's theory.,リーチがエメット理論との関連で提供した提案のほうがより妥当なものである。
plead,懇願する；抗弁する；言い訳をする,plid,"嘆願する,懇願する 
(訴訟で)(…を)弁護する《+『for』+『名』》;(…に)抗弁する,申し開きをする《+『against』+『名』》 
…‘を'言い訳(理由)として述べる 
(訴訟)…‘を'弁護する,弁論する",He pleaded with the judge for mercy.,彼は裁判官に寛大な処置を願った。
pledge,誓約；公約；抵当；誓う；質に入れる,plɛʤ,"〈C〉〈U〉『誓約』,固い約束 
〈C〉(…の)担保,抵当品《+『of』(『for』)+『名』》 
〈U〉『担保』,『抵当』,質入れ 
〈C〉(友情・忠誠などの)印,あかし《+『of』+『名』》 
〈C〉《文》乾杯(toast) 
…‘を'『誓約する』,堅く約束する 
〈人・自分〉‘に'誓約させる 
…‘を'担保(抵当)に入れる 
《文》…‘の'ために乾杯する",Pledge allegiance to the national flag.,国旗に向かって忠誠を誓う。
plug,プラグ；つなぐ；インターネットに接続する,plʌg,"(穴・すきまなどをふさぐ)『栓』,くさび 
(電気の)『差し込み』,プラグ 
《話》=spark plug 
消火栓(fireplug) 
(一口分に切った)かみたばこ 
《話》(テレビ・ラジオの番組にはさんだ)宣伝,広告 
《米俗》老いぼれ馬 
〈穴・すきまなど〉‘を'『ふさぐ』,‘に'せんをする《+『up』+『名』,+『名』+『up』》 
…‘の'プラグを努し込む《+『in』+『名,』+『名』+『in』》;コンセントに)…‘の'プラグを努し込む《+『名』+『into』+『名』》 
《話》(…に)こつこつ(せっせと)取り組む《+『away』(『along』)『at』+『名』》",He plugged in the radio.,彼はラジオをコンセントにつないだ。
plunge,飛び込み,plʌnʤ,"…‘を'『突っ込む』,押し込む《+『down』(『forward[s]』)+『名』,+『名』+『down』(『forward[s]』)》;(…に)…‘を'突っ込む《+『名』+『into』+『名』》 
(ある状態に)…‘を'追い込む《+『名』+『into』+『名』》 
『飛び込む』《+『in』(『down』)》,(…に)飛び込む《+『in』(『into,on,upon』)+『名』》 
(…へ)『突き進む』《+『into』(『through』)+『名』(do『ing』)》 
(ある状態に)陥る《+『into』+『名』》 
《副詞句を伴って》〈道路などが〉急に落ち込む 
〈船が〉前後に揺れる,縦揺れする 
《話》(かけ事や事業などに)多額の金をつぎ込む 
(…に)飛び込むこと《+『into』+『名』》 
ひと泳ぎ(a swim)",Stock prices plunged to a record low.,株価はこれまでの最低に下がった。
poison,毒,ˈpɔɪzən,"『毒』毒薬 
(…に)害になるもの,害毒《+『to』+『名』》;《俗》酒 
〈人・動物など〉‘を'『毒殺する』;…‘に'毒を入れる 
…‘を'毒する,汚染する 
(精神的に)…‘を'だめにする,害する",She killed herself by taking poison.,彼女は毒を飲んで自殺した。
policeman,警官,pəˈlismən,"警官,巡査",It is absurd to believe that young children can run faster than policemen.,幼い子供が警官より走るのが速いと信じるのは理屈に合わない。
policyholder,保険契約者,ˈpɑləsiˌhoʊldər,保険契約者,"Article 38  (1) Within three years after this Act comes into effect, the government shall examine what is the most desirable way for bearing costs required for financial assistance or other assistance provided by the Life Insurance Policyholders Protection Corporation, whether or not it is necessary for governmental assistance to the Life Insurance Policyholders Protection Corporation based on the legal provisions to be continued and other relevant factors by taking into account the state of implementation of systems, etc. pertaining to special measures for protection of insurance policy holder, etc. including governmental assistance provided to the Life Insurance Policyholders Protection Corporation and financial assistance or other assistance provided by the Life Insurance Policyholders Protection Corporation, the financial status of the Life Insurance Policyholders Protection Corporation, the state of soundness of management of Insurance Companies and other relevant factors, and make appropriate revisions.
","第三十八条　政府は、この法律の施行後三年以内に、生命保険契約者保護機構に対する政府の補助及び生命保険契約者保護機構による資金援助等の保険契約者等の保護のための特別の措置等に係る制度等の実施状況、生命保険契約者保護機構の財務の状況、保険会社の経営の健全性の状況等を勘案し、生命保険契約者保護機構の資金援助等に要する費用に係る負担の在り方、政府の補助に係る規定の継続の必要性等について検討を行い、適切な見直しを行うものとする。
"
policymaker,【名/C】政策立案者,ˈpɑləsiˌmeɪkər,【名/C】政策立案者,"On the other hand, some say there is an adverse effect of successive policymakers abusing Ju-kyo for crowd control.
","一方で、儒教を歴代の為政者が群集支配をするために悪用してきた弊害も存在しているという意見もある。
"
politically,"【副】政治上,政略上；政治的に",pəˈlɪtɪkəli,"【副】政治上,政略上；政治的に
 《文修飾》政治的には",Anybody with at least a two-digit IQ knows this was a politically biased choice.,２桁のＩＱがある人間なら誰でも、この選択が政治的に偏ったものだって分かってるよ。
poorly,【副】貧しく、不完全に　【形】健康がすぐれない,ˈpurli,"『貧しく』,乏しく,不十分に 
『へたに』,まずく 
健康がすぐれない,病身な","Thanks to a cold summer, beer has sold poorly.",冷夏のおかげで、ビールの売れ行きはよくなかった。
popularity,人気,ˌpɑpjəˈlɛrəti,"(人の間での)『人気』,好評,流行《+『with』(『among』)+『名』〈人〉》","That sports are gaining in popularity all over the world is evidenced by the sports news in the papers, by the many sports equipment stores, and by the number of runners who participate in marathons or other races.",世界中でスポーツの人気が高まっていることは、新聞でのスポーツ・ニュース、スポーツ用品店の多さ、マラソンその他のレースに参加する人の数などによって明らかである。
populist,【名/C】人民主義者【形】人民主義の,ˈpɑpjələst,"【名/C】人民主義者；人民党員
【形】人民主義の；人民党の
（人民党：1891年に設立されたPeople's Partyの党員）",he supported populist campaigns,彼は大衆に訴える選挙運動を支持した
portable,携帯用の；移動式の,ˈpɔrtəbəl,"『持チ運びのできる』,携帯用の 
携帯用器具,ポータブル(タイプ・ラジオなど)",Portable shrines and floats parade through the city.,神輿や山車が町を練り歩く
portfolio,書類入れ；自作の作品集；ポートフォリオ,pɔrtˈfoʊliˌoʊ,"(書類などを入れる)折りかばん,書類かばん 
大臣の職務 
有価証券の明細表・ポートフォリオ (金融資産の総体);","The bank is financially sound, and it maintains one of the highest capital-to-asset ratios and credit ratings among regional banks, because the bank's stock portfolio includes a significant number of stocks in renowned local companies known as ""Kyoto brands,"" which maintain substantial appraisal profits, and it has been doing prudent business since before the ""bubble"" economy.
","「京都銘柄」と称される京都企業の株式を多数保有し評価損益を多く抱えていること、バブル経済期にも比較的堅実な経営を続けていたことから、財務体質は良好で自己資本比率・信用格付けとも地方銀行の中で高水準にある。
"
portray,【動/他】描写する、表現する,pɔrˈtreɪ,"〈人物・風景〉‘を'絵(彫刻,写真)で描く 
…‘を'言葉で描写する(describe) 
(舞台・映画で)…‘を'演じる",He portrayed many women in his war pieces.,彼が戦争画の中に、多くの女性を描いた
positively,積極的に,ˈpɑzətɪvli,"『断固として;積極的に』 
《話》『全く,本当に』 
《米》(質問に答えて)そのとおり,もちろん","""O, yes, positively,"" 
","「 おお 、 そりゃ もちろん 」
"
poster,ポスター,ˈpoʊstər,"ポスター,びら",He paused to look at the poster.,彼は立ち止まってポスターをのぞき込んだ。
postpone,【動/他】延期する、後回しにする,poʊstˈpoʊn,"…‘を'『延期する』,延ばす",Their trip was postponed because of the rain.,彼らの旅行は雨のために延期された。
practitioner,開業医,prækˈtɪʃənər,"開業医;弁護士 
技術者,工芸家","In short, in contrast to the magician--who is still hidden in the medical practitioner--the surgeon at the decisive moment abstains from facing the patient man to man; 
","端的 に 言っ て 、 祈祷 師 と くらべる と 、 （ 医者 の あいだ に も そういう 人 は いまだ 多少 いる だろ う が 。 ） 外科医 は 決定的 な 瞬間 において 、 病人 と 一対一 で 向き合う こと を 避ける 。
"
pre,"【接頭辞】前の,以前の；前もって,あらかじめ；…の前部にある",pri,"【接頭辞】《時間･順序･段階などが》前の,以前の
前もって,あらかじめ
…の前部にある","Also, you must pre-register to use this.",なお利用には事前の登録が必要だ
precede,【動/自/他】先行する,prɪˈsid,"【動/他】《Bの点で》《A（ほかの事･物･人など）》より先に来る,行く《A in B》
 …の上位である,より重要である 
…に'先だつ,の先に起こる
《B（ある言葉など）によって》《A（話･文章など）》の前置をする《A with B》
【動/自】先行する,先に（前に）来る
",In English the verb precedes the object.,英語では動詞が目的語の前に来る。
precedent,先例,ˈprɛsɪdənt,"〈C〉(…の)先例,前例《+『for』+『名』》 
〈U〉先例にならうこと","Mansai served as the twenty-fifth monzeki (head priest of the temple, formerly led by the sect founder) of the Sanboin Temple, and also held the post of seventy-fourth zasu (temple head priest) of Daigo-ji Temple from 1395 to 1434, creating a precedent for the monzeki of Sanboin Temple concurrently holding the post of zasu of Daigo-ji Temple.
","三宝院25世門跡となり、応永2年（1395年）から永享6年（1434年）の間醍醐寺第74代座主を務め、以後、三宝院門跡が醍醐寺座主を兼ねる例となった。
"
precious,"【形】貴重な,いとしい,気取った",ˈprɛʃəs,"『高価な』;『貴重な』,大切な 
『かけがえのない』,無駄にできない 
『愛する』,いとしい(dear・beloved) 
《話》《名詞の前にのみ用いて》《強調・皮肉に》とびきりの,大した 
いやに気取った,凝り過ぎの 
とても,非常に 
かわいい人",The precious results of democracy are the apple of the people's eye and the people will fight to maintain these ideals.,民主主義の貴重な成果は国民にとって、非常に大切なものである。だから国民はこの民主主義の理念を維持するために戦う。
precision,精度,priˈsɪʒən,"正確,きちょうめん 
(計器などが)精密な",Precision in measurement is a necessity.,測定においては正確さは欠かせないものである。
predecessor,前任者,ˈprɛdəˌsɛsər,2『前任者』;前のもの,He believes it to be an honor to follow in his predecessor's footsteps.,彼は先人と同じ道を歩むことを名誉だと信じている。
