英単語,訳,発音,英語の意味,解説,用例,用例・訳
landlord,家主,ˈlænˌdlɔrd,the person who owns the place you rent,"家主 
(旅館・下宿などの)『主人』,だんな",Tokyo landlords are in a panic because the real estate market went soft.,不動産市場が低迷しているため、東京の土地所有者たちは恐慌をきたしています。
laundry,洗浄すること；洗濯物；洗濯場,ˈlɔndri,dirty clothes that need washing,"《集合的に》『洗濯』[『物』] 
〈C〉『クリーニング屋』 
『洗濯室』(laundry room)《形容詞的に》",The weather's so good I think I'll hang the laundry out to dry.,天気がいいので洗濯物を干していこう。
leisure,【名/U】余暇；暇；自由な時間【形】暇な；有閑な,ˈlɛʒər,something for fun or relaxing,"『暇』,余暇;(仕事をしなくてもよい)自由な時間 
仕事をする必要がないこと 
暇な,有閑な",I don't know what to do with my leisure.,僕は暇をもてあましている。
likewise,同様に,ˈlaɪˌkwaɪz,in the same way,"『同様に』(in the same way) 
…もまた(also);さらに(moreover)",Tom is tall and likewise strong.,トムは背が高い上に力も強い。
lounge,待合室；休憩室；座る；ぶらぶらして過ごす,laʊnʤ,a place to relax,"(…に)ゆったりと寄り掛かる(座る,横になる)《+『against』(『on, in』)+『名』》 
(…を)『ぶらぶら歩く』,ぶらつく《+『about』+(『around』)+『名』》 
〈C〉(ホテル・クラブ・船などの)『休憩室』,娯楽室,社交室 
〈C〉寝いす,安楽いす 
〈U〉《しばしばa~》ぶらぶら歩き",Where is the boarding lounge?,搭乗ラウンジはどこでしょう？
maximize,最大化,ˈmæksəˌmaɪz,to make use of as much as possible,…‘を'最大限にする,He maximizes the use of the Internet.,彼がインターネットを最大限に活用する
meantime,その間に,ˈminˌtaɪm,the time between two events,=Greenwich Mean Time,"Mother was busily cooking; in the meantime, I was just watching TV.",母は忙しそうに料理をしていた。その間私はテレビを見ていた。
merchant,商人,ˈmɜrʧənt,a person who sells things for a living,"(比較的大規模に商品を扱う)『商人』;貿易商 
『小売商人』(storekeeper) 
商業の,商人の 
商船の",He is not so much a politician as a merchant.,彼は政治家というよりもむしろ商人だ。
merit,【名/U】価値、優秀さ【名/C】功績、美点【動/他】に値する,ˈmɛrət,to deserve praise,"〈U〉『価値』,優秀さ;〈C〉《しばしば複数形で》(賞賛・ほうびに値する)功績,手柄,美点 
〈C〉《複数形で》(訴訟などで,物事の)理非(問題になっている事柄そのものの良し悪し,ありのままの事実) 
〈賞・罰・非難など〉‘に'値する",Does she have any merit?,彼女にはなにかとりえがありますか。
mineral,鉱物；鉱石；無機物；鉱物性の,ˈmɪnərəl,a type of substance found in nature,"(動植物に対して)『無機物』 
『鉱物』,鉱石 
《複数形で》《英》炭酸水,清涼飲料(mineral water) 
鉱物の,鉱物質を含む",mineral origin,鉱物の起源
minimize,最小限にする；見くびる；軽視する,ˈmɪnəˌmaɪz,to make less important or smaller,"…‘を'最小限にする 
…‘を'過小評価する,軽視する","One effect of a ``release early and often'' policy is to minimize such duplication by propagating fed-back fixes quickly [JH].
","「 はやめ しょっちゅう の リリース 」 の 効果 の 一つ として 、 すでに フィードバック 済み の バグ フィックス を すばやく 広める こと で そういう 重複 を なくせ る という こと が ある 。 [ JH ]
"
monument,記念碑,ˈmɑnjumənt,something built to honor someone,"(人物・事件などの)『記念碑』,記念像,記念婿造物《+『to』+『名』》 
(故人への)墓碑(tombstone);(地所を示す)標識 
遺物,遺跡;景勝地 
(…の)後世に残る偉業,金字塔《+『of』+『名』》",The soldiers have erected a peace monument.,兵士達は平和記念碑を建てた。
necessity,必要性,nəˈsɛsəti,something which you need,"〈U〉《時にa ~》『必要』,必要性;必然,当然のこと・必要品〈C〉《しばしば複数形で》(…に)『どうしても必要なもの』,(…の)必需品《+『of』(『for, to』)+『名』》 
〈U〉(貧乏・不幸などによる)困窮,窮乏",An insulated soft-wood room and a good heater are the absolute necessities for a sauna.,軟木の絶縁された部屋およびよいヒーターはサウナのための絶対必要である。
nutrition,栄養,nuˈtrɪʃən,the study of food and health,"(生物の)栄養摂取 
栄養分,食物",She is careful about her child's nutrition.,彼女は子供の栄養に気をつけている。
omit,除外する；あえて省く；(to do)しないでおく,oʊˈmɪt,to leave out or not say,"(…から)…‘を'『省略する』,省く《+『名』+『from』+『名』》",The teacher omitted the exercise on page 21 of the book.,先生は本の２１ページの練習問題を省いた。
ongoing,現在進行中,ˈɑnˌgoʊɪŋ,still happening,進行中の,"It is a people that are subjected to this ongoing racist and brutal aggression. 
","それ は 現在 進行 形 で 人種 差別 主義 者 や 残酷 な 侵略 に さらさ れ て いる 民 で あり ます 。
"
opt,選択する；決める,ɑpt,to make a choice,(…を)選ぶ《+『for』+『名』》;(…するほうを)選ぶ《+『to』 do》,She opted for the job on the East coast,彼女は東海岸の仕事を選んだ
optimistic,楽観的,ˌɑptəˈmɪstɪk,being positive about the future,"楽天主義の;楽観的な,のんきな",His view seems to be too optimistic.,彼の考えはどうもあまい。
orchestra,オーケストラ,ˈɔrkəstrə,many musicians with different instruments playing one musical piece,"『オーケストラ』,管弦楽団 
オーケストラの楽器一式 
(またorchestra pit)(劇場の)オーケストラ席(舞台と客席の間に一段低く設けられている) 
《米》(劇場の1階前方の)上等席;1階[席]",They sat in the front row of the concert hall and heard the orchestra clearly.,彼らはコンサートホールの最前列に座ってオーケストラを聞いた。
outfit,"【名/C】装備一式；服装一式；活動団体【動/他】を装備する,を支給する",ˈaʊtˌfɪt,a set of clothes like a uniform,"(ある特定の目的のための)『装備一式』,道具一式《+『for』+『名』》 
服装一そろい,アンサンブル 
《話》(1つの)集団,隊,部隊;会社,企業 
(…で)…‘に'したく(服装)を整えてやる,‘を'装備する,支給する《+『名』+『with』+『名』》",What a darling outfit!,なんてすてきな衣装だ。
outlet,"【名/C】《水・煙などの》出口《for》；《感情・精力などの》はけ口《for》；《特定の商品の》販売口,販路《for》",ˈaʊtˌlɛt,a store that sells things at a discount,"【名/C】(水・煙などの)『出口』,はけ口《+『for』+『名』》 
(感情・精力などの)『はけ口』《+『for』+『名』》 
《米》(電気コードの)差し込口 
(特定の商品の)販売口,販路《+『for』+『名』》",Impressive isn't it. A company that's only just been established but it's already got many outlets and is in fashion.,すごいわね。できてまだ間もない会社なのに店舗も多いし、流行ってるし。
outlook,見通し,ˈaʊtˌlʊk,a view point,"…‘の'『見通し』,見込み《+『for』+『名』》 
(…についての)見解,見地《+『on』+『名』》 
(…の)『展望』,ながめ,景色《+『on』(『over』)+『名』》",I use Outlook's scheduler at work and I think I'd like to buy a PDA and synchronize them.,職場でOutlookのスケジュールを使用していますが、ＰＤＡを購入しシンクロさせたいと考えています。
overhead,頭上を；上空を；間接費,ˈoʊvərˌhɛd,"the fixed cost of a business, e.g. rent","『頭上高く』,空に 
『頭上にある』,空にある 
〈C〉《英では複数形で》一般諸経費",An airplane is flying overhead.,飛行機が、頭上を飛んでいる。
overnight,【副】一晩じゅう；一夜のうちに【形】夜通しの；突然の【動/自】一泊する,ˈoʊvərˈnaɪt,from one day to the next,"『一晩じゅう』,夜通し 
一夜のうちに;にわかに,急に 
一晩(一夜) 
夜間の;夜通しの 
小旅行用の,短期宿泊用の",I am planning to make an overnight trip to Nagoya.,私は名古屋に一泊旅行をする計画をしている。
oversee,【動/他】を監督する,ˈoʊvərˌsi,to supervise,【動/他】《仕事・人》‘を'監督する,a committee was appointed to oversee the reorganization of the curriculum,委員会は、教育課程の再編成を監督するために任命された
packet,パケット；パッケージ；包装；袋,ˈpækət,a small carton or package,"(小さい)包み;小荷物 
(またpacket boat)(郵便・旅客・貨物などを運ぶ)定期船,郵便船 
《英俗》大金",This instant soup comes in individual packets.,このインスタントスープは１つ１つ包みの中に入っている。
parade,記念行列；行進；行進する；見せびらかす,pəˈreɪd,walk or march,"〈C〉〈U〉『行進』,『行列』;示威行進,団体行進 
〈C〉(多くの人・車などの)長い列,行列《+『of』+『名』》 
〈C〉(…の)見せびらかし,誇示;(これ見よがしの)陳列《+『of』+『名』》 
〈C〉観兵式;観兵式場 
〈C〉(海岸などの)遊歩道;歩行者の群れ,人波 
『列を作って行進する』,練り歩く 
《しばしば軽べつして》(目立つように)歩き回る 
〈軍隊〉‘を'観閲のために整列させる 
〈街・通りなど〉‘を'『行進する』 
《しばしば軽べつして》〈財産・能力など〉‘を'見せびらかす,誇示する 
〈軍隊〉‘を'観閲のために整列させる",We took a good place to see the parade.,僕たちはパレードを見るのにいい位置を占めた。
patent,特許,ˈpætənt,the right to be the only one who is allowed to make a thing,"『特許』,特許権,パテント 
『専売特許品』,特許となっている製法 
専売特許証 
(一般に特権などを授ける)公式証書 
《名詞の前にのみ用いて》専売特許の 
《名詞の前にのみ用いて》《英話》賢い,独特な,まねのできない 
明白な 
…‘の'特許[権]を取る 
…‘に'特許[権]を与える",Hans sold the patent to a company.,ハンスさんが会社へ特許権を売りました。
patience,根気,ˈpeɪʃəns,to accept suffering without getting angry,"(苦しみに耐える)『忍耐』,忍耐力,しんぼう 
《英》=solitaire",Their patience was about to give out.,彼らの忍耐も尽きそうだった。
patron,後援者；支援者；常連客,ˈpeɪtrən,"someone who gives support with time, money or effort","(個人・主義・事業などの)『後援者』,保護者,パトロール《+『of』,『名』》 
(商店・レストランなどの)『お得意』,顧客《+『of』+『名』》",The patron appreciates genuine antiques.,その後援者は本物の骨董品の良さが分かる。
petition,嘆願,pəˈtɪʃən,"a demand for a particular action, usually signed by a lot of people ","(正式の)『請願書』,陳情書 
『請願』,陳情 
…‘に'『請願する』,陳情する 
(…を)『請願する』,陳情する《+『for』+『名』》",He will hold a sit-in in front of the Diet and petition members of the Diet from 11:00 a.m to 1:00 a.m.,彼が国会前座り込みと議員要請行動を１１時から１時の間に行います
physician,医師,fəˈzɪʃən,A doctor of medicine,『医者』;(特に)『内科医』,There's no reason why I should become a physician because my father is one.,父が医者だからといって僕も医者にならなければならぬ理由はない。
physics,【名/U】物理学,ˈfɪzɪks,the science of how things  like heat and light work,『物理学』,She has little knowledge of physics.,彼女には物理の知識がほとんどない。
pill,錠剤；経口避妊薬,pɪl,medicine in the form of a capsule that you swallow,"『丸薬』;《the pill》《話》ピル(経口避妊薬) 
(耐えなければならない)不快なこと,苦しいこと 
《通例単数形で》《俗》いやなやつ",I have to take two pills every six hours.,私は６時間ごとに２粒飲まなければなりません。
pillow,枕,ˈpɪloʊ,soft cushion to rest your head on when you go to bed,"『まくら』 
(まくらなどに)〈頭〉‘を'載せる《+『名』+『on』(『in』)+『名』》 
〈頭など〉‘の'まくらになる",She sleeps with two pillows.,彼女は枕を二つ使っている。
portfolio,書類入れ；自作の作品集；ポートフォリオ,pɔrtˈfoʊliˌoʊ,a collection of investments that someone owns,"(書類などを入れる)折りかばん,書類かばん 
大臣の職務 
有価証券の明細表・ポートフォリオ (金融資産の総体);","The bank is financially sound, and it maintains one of the highest capital-to-asset ratios and credit ratings among regional banks, because the bank's stock portfolio includes a significant number of stocks in renowned local companies known as ""Kyoto brands,"" which maintain substantial appraisal profits, and it has been doing prudent business since before the ""bubble"" economy.
","「京都銘柄」と称される京都企業の株式を多数保有し評価損益を多く抱えていること、バブル経済期にも比較的堅実な経営を続けていたことから、財務体質は良好で自己資本比率・信用格付けとも地方銀行の中で高水準にある。
"
poster,ポスター,ˈpoʊstər,a large printed picture or notice to stick on a wall,"ポスター,びら",He paused to look at the poster.,彼は立ち止まってポスターをのぞき込んだ。
postpone,【動/他】延期する、後回しにする,poʊstˈpoʊn,put off until a later time,"…‘を'『延期する』,延ばす",Their trip was postponed because of the rain.,彼らの旅行は雨のために延期された。
preliminary,予備的,prɪˈlɪməˌnɛri,The first action that comes before a more important one,"『準備する』,『予備の』;前置きの 
《通例複数形で》準備の処置,予備行動,下準備 
予備試験;前座試合;予選","Well, these preliminaries have gone on too long.",さて、前置きが長くなった
premium,保険料；割増料金；賞品；高級な,ˈprimiəm,an extra payment added to the cost,"(購買心をそそるための)無料提供品,値引き品,おまけ 
割増し金;奨励金 
(普通以上の)高い価値 
保険料,保険掛け金",How much is the premium?,保険料は幾らですか。
prescribe,処方する；規定する；時効で無効にする,prəˈskraɪb,to formally tell someone what to do,"〈守るべき規則・方針など〉‘を'『規定する』,『勧める』,指示する 
《『prescribe』+『名』〈人〉+『名』〈薬〉=『prescribe』+『名』+『for』+『名』》〈人〉‘に'〈薬〉‘を'処方する 
規定する,資示する 
(病人・病気に対して)処方を書く",How about consulting a doctor and getting sedatives prescribed?,医者に相談して鎮静剤を処方してもらうのはどうでしょうか。
prescription,"【名/U】指示（規定）すること【名/C】規定,指示；（薬などの）処方；処方せん；処方【名/U】時効；長期間の使用による権利；貫行",prəˈskrɪpʃən,doctor's written order for medicine,"〈U〉指示(規定)すること 
〈C〉規定,指示 
〈C〉(薬などの)処方;処方せん;処方薬 
〈U〉時効;長期間の使用による権利,貫行",The pharmacist made up the prescription for me.,薬剤師は処方どおりに調合してくれた。
prestigious,"【形】誉れの高い,高名な；尊敬されている；権威のある",prɛˈstɪʤəs,very important and well thought of,"誉れの高い,高名な;尊敬されている",He associates only with prestigious people.,彼は名声のある人たちとだけ交際している。
publicity,宣伝,pəˈblɪsəti,the  advertising message to let people know about a product or event,"『広く知られていること』,周知;評判 
(…についての)宣伝,広報《+『about』+『名』》;(…の)広報《+『for』+『名』》",You're going to get much publicity with this book.,この本で、君はかなり評判になるよ。
questionnaire,アンケート,ˌkwɛsʧəˈnɛr,a set of questions to find out what people think about something,"質問表,アンケート",Our company is a small but elect venture business that assists in entry and totalling of questionnaires.,当社はアンケート入力、アンケート集計のお手伝いをする少数精鋭のベンチャーです。
rack,棚；台；拷問台；拷問にかける；ひどく苦しむ,ræk,a stand or shelf to put things on,"《しばしば複合語を作って》(枠・網・棒などで作られた)…『掛け』,…『のせ』,…『棚』(たな)陳列棚;網棚 
歯ざお(歯車を受ける直線のかみ合せ歯) 
(昔の)拷問(ごうもん)台;《『the~』》拷問;(肉体・精神の)苦痛 
(肉体的・精神的に)(…で)〈人〉‘を'苦しめる,悩ませる《+『名』+『with』+『名』》・「rack one's brains」で「知恵を絞る」",She was racked with pain.,彼女は痛みに苦しんでいた。
receipt,領収書,rɪˈsit,proof of payment,"〈C〉『領収書(証)』 
〈C〉《複数形で》(取引の)受取高,収入金額 
〈U〉(…を)受け取ること,(…の)受領《+『of』+『名』》 
〈金・品物〉‘の'領収書(証)を出す 
〈請求書〉‘に'領収の署名をする,受領済みと書く",We need a signed receipt.,私たちはサインある領収書がいる。
recipient,受信者,rəˈsɪpiənt,the person who receives something,(…の)受取人《+『of』+『名』》,The largest recipient of Japan's ODA that year was China.,その年の日本のＯＤＡの最大の受け手は中国だった。
recreation,気晴らし；娯楽；,ˌrɛkriˈeɪʃən,leisure,作り直し;〈C〉作り直したもの,"Time is allotted for work, recreation, and study.",時間は仕事と余暇と勉強に配分されている。
recreational,娯楽[気晴らし]のための,ˌrɛkriˈeɪʃənəl,what you do for relaxation in your free time,"レクリエーションの,気晴らしの,娯楽の",recreational golfers,趣味でゴルフを楽しむ人
recur,再発する；繰り返される；回想する,rɪˈkɜr,happens again,"〈問題・病気などが〉再び起こる,繰り返される 
(心・記憶などに)〈考え・でき事などが〉再び浮かぶ《+『to』+『名』》 
(もとの話・考えなどに)戻る,立ちかえる《+『to』+『名』》 
(数学で)循環する","The thought of self-destruction recurred to him;
","ふたたび 、 自分 で 自分 に 片 を つける 、 という 考え が よみがえる 。
"
recycle,再利用する,riˈsaɪkəl,to find another use for something that is going to be put in the trash,〈廃物など〉‘を'再利用する,There is a big movement today to recycle trash.,今日ごみを再利用する大きな運動が見られる。
refinery,精錬所,rɪˈfaɪnəri,a factory where raw materials are taken to be made pure,精製所;精錬所,"Having started his business as a second-class drug seller, Fujisawa established a camphor refinery in Temma, Kita Ward, Osaka City in 1898 selling ""Fujisawa Camphor.""
","薬種商を始め、明治31年（1898年）大阪市北区(大阪市)天満に樟脳精製所を設立、藤沢樟脳を発売した。
"
refresh,爽快な気分にする；新たにする；更新する,rɪˈfrɛʃ,to put new life or energy into,"(飲食物・休息などが)〈人〉‘を'『再び元気にする』,〈気分など〉‘を'再びさわやかにする",Refresh yourself with a cup of coffee when sleepy.,眠い時はコーヒーを飲んで気分転換してごらん。
refreshment,軽い飲食物；元気を回復させるもの；気分一新,rəˈfrɛʃmənt,a small amount of food and drink served as a light meal,"〈U〉『元気回復』,気分爽快(そうかい);元気を回復した状態 
〈C〉『元気を回復させるもの』 
〈U〉(ばく然と)飲食物;《複数形で》軽い飲食物,軽食","O! that these necessities were not, but only the spiritual refreshments of the soul, which alas we taste too seldom.
","その よう な 必要 が なく 、 魂 の 霊的 な 食事 だけ が あっ た として も 、 悲しい こと に 、 私 たち が それ を 味わう こと は 非常 に まれ な の です 。
"
rehearsal,予行演習；準備；繰り返して話すこと,rɪˈhɜrsəl,a practice session in preparation for a public performance,"(劇などの)けいこをすること,リハーサル 
《文》(経験などを)話すると;物語","After a ten-minute break, we resumed our rehearsal.",１０分休憩してからまたリハーサルを続けました。
rehearse,練習する；心の中で思い描く；細かく話す,riˈhɜrs,practise so that you get better at doing it,"(公演前に)…‘を'けいこする,リハーサルをする 
〈俳優など〉‘に'けいこをつける 
《文》…‘を'詳しく述べる,物語る",they rehearsed the scene again,彼らは再びその場面をリハーサルした
retrieve,"取り戻す, 回収する, 検索する",rɪˈtriv,to go and get something back,"(…から)…‘を'取り戻す,回収する《+『名』+『from』+『名』》 
〈罪など〉‘を'償う,〈誤りなど〉‘を'訂正する 
〈猟犬が〉〈獲物〉‘を'捜して持って来る 
〈猟犬が〉獲物を持って来る","Especially when this means retrieved mail is guaranteed to look like normal sender-initiated SMTP mail,
","特に こう すれ ば 、 とっ て き た メール は 確実 に 、 ふつう の 送り 手 から 送ら れ て き た SMTP メール の よう に 見える はず な ん だ 。
"
rubber,ゴム,ˈrʌbər,the stretchy material that elastic bands are made of,"(またIndia rubber)〈U〉ゴム 
《複数形で》《米》オーバーシューズ(靴の上にはくゴムの防水靴);《英》(ロッククライミング用の)スニーカー 
〈C〉《英》ゴムの製品,消しゴム 
〈C〉こする物 
〈C〉マッサージ師 
〈C〉《米俗》コンドーム 
ゴム製の",I never thought this rubber band would come in handy when I put it in my pocket this morning.,今朝この輪ゴムをポケットに入れたときには、これが役に立つことになろうとは思ってもみなかった。
rug,敷物；絨毯；膝掛け；かつら,rʌg,a small loose floor covering,"(床の一部に敷く)『敷き物』,じゅうたん,もうせん 
(敷物用)毛皮 
(特に旅行・キャンプ用などの)ひざ掛け",Do you have the stuff you need to make the rug?,穀物を作るのに必要な材料はありますか。
satisfactory,満足のいく；納得のいく,ˌsætəˈsfæktri,acceptable,"『満足を与える』,満足な,申し分のない",The result was far from being satisfactory to her.,彼女はその結果に全然満足出来なかった。
scholarship,奨学金,ˈskɑlərˌʃɪp,an amount of money given to an able student to help pay for their studies,"〈C〉《時にS-》『奨学金』 
〈U〉学識,学力",She was studying drama on a special scholarship.,彼女は特別の奨学金をもらって演劇を研究していた。
seldom,めったに…ない,ˈsɛldəm,not very often,"『めったに』…『ない』,まれに",Barking dogs seldom bite.,吠える犬は滅多に噛まないものだ。
seminar,ゼミ；少人数の演習；研究会；研究科,ˈsɛməˌnɑr,"a discussion session or class led by a teacher, or expert ","(指導教授のもとで行う大学の)研究(演習)グループ,研究会,演習,セミナー,ゼミナール",Please forward this message along with the seminar information to the appropriate managers in your firm.,セミナーのご案内と共に、この情報を貴社内の担当の管理職にご転送ください。
signature,署名,ˈsɪgnəʧər,your name written in your own handwriting,"『署名』 
音楽記号(拍子記号・調記号など) 
(本の)1ページの大きさに折り畳んだ大きな紙",The people were in a line to get the signature of the president.,人々は大統領のサインを得るために列に並んだ。
sincerely,心から,sɪnˈsɪrli,with honesty,"『真心込めて』,心から",I sincerely hope for his happiness.,私は彼の幸福を心から願っています。
sketch,デッサン；素描；概要；下書きする；概略を書く,skɛʧ,"a simple, quickly made drawing","(…の)『スケッチ』,素描,写生画《+『of』+『名』》 
(…の)『草案』,下書き;(事実などの)概略,大要《+『of』+『名』》 
(文芸作品の)小品,短編,(レビュー・ミュージカルなどの)寸劇 
…‘を'『スケッチする』,写生する 
…‘を'略述する《+『in』(『out』)+『名』》 
スケッチ(写生)する",Ask him to sketch out his plan.,彼に計画の概略を述べてもらおう。
sleeve,袖；たもと,sliv,"the part of a garment that covers some, or all, of the arm","『そで』(袖),たもと 
スリーブ(機械の棒軸などをはめ込む金具)",Father made a long tear in his sleeve.,父は袖に長い裂け目を作った。
slot,細長い小穴；時間帯；差し込む；溝穴を掘る,slɑt,a narrow opening,"細長いみぞ(くぼみ,口);(自動販売器などの)料金投入口 
(リスト・予定表・ある組合せなどの中で占める)場所,位置 
…‘に'細長いみぞ(小穴)をつける 
…‘を'区分けする,位置につける","When a piece of stationery such as a New Year postcard or a postcard printed with 'Nenga' in red below a postage stamp is posted into a dedicated mail slot provided in a mailbox, the postmark is omitted.
","年賀はがきや印面下部に年賀と朱記したはがきなどのステーショナリーを、郵便ポストに設置された専用投入口に投函した場合は消印は省略される。
"
soap,石鹸,soʊp,a block of material used for washing or cleaning,"『石けん』 
=soap opera 
…‘を'石けんで洗う",He blew soap bubbles.,彼はシャボン玉をとばした。
soar,急上昇する；舞い上がる；高まる；そびえ立つ,sɔr,fly quickly up into the air,"〈ワシなどが〉『空高く飛ぶ』,舞い上がる 
〈山などが〉そびえ立つ,高くそびえる(進行形にできない) 
〈物価などが〉『急に上る』 
〈希望・元気・想像力などが〉高まる",Prices have soared every year.,物価は毎年上昇してきた。
soccer,サッカー,ˈsɑkər,ball game played by two teams who try to score goals without handling the ball,『サッカー』,Like the saying that things are seen clearest from outside I wish he'd leave the association for a time and take a look at Japanese soccer.,傍目八目という言葉があるように一度協会から離れて、日本サッカーをみて頂きたい。
solar,【形】太陽の,ˈsoʊlər,"to do with the sun, like sunlight or the heat from the sun","『太陽の』,太陽からの;太陽の作用による",The total solar eclipse can be observed next year on June 22nd.,来年６月２２日に観測される皆既日食。
spouse,配偶者,spaʊs,the person you are married to,"配偶者,夫,妻",glorify one's spouse's cooking,その人の配偶者の料理を称賛する
stack,積み重ね；積み重ねる,stæk,a pile of things placed one on top of the other,"『干し草の山』,麦わらなどの山,いなむら 
(一般に,物を積み上げた)『山』,(…の)積み重ね《+『of』+『名』》 
(図書館などの)書架,ラック;《複数形で》(特に,図書館などの)書庫 
煙突 
《しばしば複数形で》《話》多数,多量(の)《+『of』+『名』》 
〈干し草・本・皿など〉‘を'積み重ねる《+『up』+『名,』+『名』+『up』》 
(…を)〈ある場所〉‘に'積み上げる《+『名』+『with』+『名』》 
《米話》(…に対して)〈カード〉‘を'不正な切り方をする《+『名』+『against』+『名』》 
〈飛行機〉‘を'空港上空で旋回待機させる 
山に積まれる,山になる 
〈飛行機が〉空港上空で旋回待機する","When you get into a commuter train, you see the briefcases neatly stacked on the racks.",通勤列車に乗ると、鞄が棚にきちんと並べられていることが見える。
stadium,スタジアム,ˈsteɪdiəm,sports ground surrounded by rows of seats where people go to watch events,"『競技場』,スタジアム,球場",The stadium was overflowing with people.,スタディアムは溢れんばかりの人込みだった。
statue,立像,ˈstæˌʧu,"a work of art, usually a model of a person or animal, made from hard material","『像』,彫像,立像",The bronze statue was broken into pieces.,銅像が粉々になった。
steer,操縦する；連れて行く；進む,stɪr,guide the direction of,"〈船・車・飛行機など〉‘の'『かじをとる』,‘を'操縦する;《しばしば比喩(ひゆ)的に》〈人〉‘を'操る 
〈進路・道〉‘を'操縦して進む 
…‘を'導く,‘に'道を教える 
操縦する 
進路をとる 
〈船・車などが〉かじ(ハンドル)がきく 
助言,忠告",Of course you can trust me. Have I ever given you a bum steer before?,むろん信用していいとも。君にヨタ情報を教えたことが一度でもあったかい。
stimulus,刺激,ˈstɪmjələs,the reason or prompt that causes something to happen,刺激[するもの],The doctor says stimulus is needed for appetite.,食欲には刺激が必要だと医者は言う。
stripe,縞,straɪp,a line or band of a different color,"『筋,しま』 
《複数形で》(軍服のそでにつける)記章,そで章(階級・勤続年数などを表す) 
むち打ち 
…‘に'しまをつける",stripes characteristic of the zebra,シマウマに特有な縞
subscribe,申し込む,səbˈskraɪb,to pay money to receive a service or product regularly,"(雑誌・切符などを)『予約する』《+to(for)+名》 
(…に)『寄付(出資)を約束する』,寄付(出資)する《+to(for)+名》,(…を)寄付する《+for+名》 
(書類などの終りに)署名する《+to+名》 
(…に)同意する,賛成する《+to+名》 
(…に)〈金〉‘の'寄付(支払い)を約束する,‘を'寄付する,支払う《+名+to(for)+名》 
〈書類〉‘に'署名する;〈自分の名前〉‘を'書く(sign)",Do you subscribe to any magazines?,何か雑誌を取っていますか。
subscriber,加入者,səbˈskraɪbər,someone who pays money to receive a service or product regularly,"予約者,定期講読者 
寄付者,出資者 
(契約書,証明書などの)署名者 
同意者",How many subscribers does this magazine have?,この雑誌の発行部数はどのくらいですか。
subscription,購読,səbˈskrɪpʃən,the amount of money that you pay to receive a service or product regularly,"〈U〉(雑誌・切符などの)『予約』;(慈善事業などへの)寄付申込み《+to+名》 
〈C〉(…への)『寄付金』,〈U〉寄付《+to+名》 
〈C〉(募金によって集められた)資金,寄金 
〈C〉《話》署名",Your subscription expires with the June issue.,あなたの定期購読予約は六月号で切れます。
suite,ひとつづきの部屋；ひと組；ソフトウェアパッケージ；組曲,swit,"a set of connecting rooms, usually in a hotel","(ホテルなどで寝室・居間・客間などの)一続きの豪華な部屋 
(家具などの)一そろい,一組 
(いっしょに使われるものの)一続き,一組,一そろい 
(楽曲の一形式である)組曲 
《集合的に》《まれ》随行員,従者の一行",They are not suited to each other.,彼らはどうも性が合わない。
superb,"【形】見事な,すばらしい；上質の；豪華な；壮麗な,堂々とした；雄大な",sʊˈpɜrb,very good,"(形・内容などが)りっぱな,一流の 
(建物などが)堂々とした,壮麗な 
(衣装などが)豪華な,目もあやな",This is a superb illustration of how Emmet modified the traditional architectural designs.,これはエメットがいかに伝統的な建築デザインを修正したかを示すすばらしい例である。
tag,鬼ごっこ,tæg,a label,"(名前・番号・定価などを記した)札,下げ札,荷札 
(服などの)切れて垂れ下がった端;(靴ひもなどの)先金 
(特にラテン語引用句の)きまり文句 
=question tag 
…‘に'下げ札をつける 
(…に)…‘を'つける,加える《+名+on(to)+名》 
〈人〉‘に'(…の)レッテルをはる《+名+as+名(形)》 
人の後にくっついて行く《+along》;(人の)すぐ後について行く《+after(behind)+名》",Let's learn the basic tags in order.,順を追って基本的なタグを覚えていこう。
telecommunication,【名/U/C】遠距離通信；電気通信技術,ˌtɛləkəmˌjunɪˈkeɪʃən,"exchanging audio, visual or digital information at a distance, electronically","【名/U/C】《電話・ラジオ・テレビなどによる》遠距離通信；電気通信技術
遠距離通信により送られたメッセージ
","Moreover, the Ministry of Posts and Telecommunications presented ""Stamp Book for Commemorating the Crown Prince's Wedding"" to the Imperial family and Shoda family.
","また切手は郵政省から天皇家と正田家に『皇太子御成婚記念切手帖』が献上されいる。
"
tenant,賃借人；占有者；賃借されている,ˈtɛnənt,someone who pays rent for the use of property like land or rooms,"『借地人』,『借家人』;小作人 
(…の)居住者《+of+名》 
〈土地・家〉‘を'借りる",The previous tenant took excellent care of her apartment.,前の借家人は、アパートの雑用を抜群によくやっていた。
terminal,末期の；最終の；発着場；端末；端子,ˈtɜrmənəl,"the place where a transport line ends, like the final train station on the line","『終りの』,末端の 
毎期の,定期の;学期末の 
『死に至る』, 
末端 
(電池の)端子 
(町の中心に近い)空港バス発着場;(一般に,鉄道・バスの)終点,終着駅",Where is the south terminal?,南ターミナルはどこですか。
terminate,終わらせる；中絶する；解雇する；暗殺する,ˈtɜrməˌneɪt,bring to an end,"(…で)…‘を'終わらせる《+名+with+名》 
…‘の'終りにくる,結びとなる 
…‘の'境界となる 
『終わる』,終結する",the bronchioles terminate in a capillary bed,細気管支は毛細血管床で終わる
