英単語,訳,発音,英語の意味,解説,用例,用例・訳
utility,実用性；公益事業,juˈtɪləti,"being useful; a public service such as gas, water, or electricity that is used by everyone","〈U〉『役に立つこと』 
〈C〉《しばしば複数形で》(ガス・電気・水道などの)『公益事業』",You have to pay for utilities.,諸設備の費用は払っていただきます。
vague,ぼんやりした,veɪg,not clearly stated,"(言葉・意味などが)『はっきりしない』,あいまいな 
(考え・感じなどが)『ばく然としている』,ぼんやりした 
(形・姿などが)『ぼやけた』,はっきりしない 
《名詞の前にのみ用いて》《通例最上級で》《話》ほんのわずかの,かすかな","Questioned about his policies, the candidate gave only vague answers.",政策について聞かれたところ、その候補者はあいまいな返答しかできなかった。
valid,【形】妥当な、合法的な、正当な,ˈvæləd,sound; just; well-founded,"(理論・理由などが)『妥当な』,しっかりした根拠のある 
(契約・法律などが)『合法的な』,正式な手続きを踏んだ 
(ある期間,またある条件のもとで)有効な",His theory is widely accepted as valid.,彼の理論は妥当なものとして広く認められている。
validity,"【名/U】《理論・理由などの》妥当性,正当性《of》；《契約などの》有効性,合法性《of》",vəˈlɪdəti,how true something is; in statistics: the ability of a test to measure what it is intended to measure.,"【名/U】(理論・理由などの)『妥当性』,正当性《+of+名》 
(契約などの)有効性,合法性《+of+名》",The period of validity is specified in paragraph 2.,有効期間は２項の規定による
virtue,美徳,ˈvɜrʧu,a good quality,"{U}『美徳』,徳;高潔 
{U}(特に婦人の)節操,貞操 
{C}(特定の)道徳,美徳 
{U}{C}(物・事・人などの)(…という)『長所』,美点《+of+名(doing)》 
{U}{C}(…するという)効力,ききめ《+of doing》",Bravery is a great virtue.,勇敢さは素晴らしい美徳である。
weave,織る,wiv,to make something by crossing threads over and under each other,"織物を織る,機を織る 
縫うように進む 
〈毛糸・綿糸など〉‘を'『織って』(織物などを)『作る』《+名+into+名》 
(毛糸・綿糸などから)〈織物〉‘を'『織る』,編む《+名+from(of)+名》 
〈かごなど〉‘を'編む,編み上げる 
(かごなどに)…‘を'編んで作る《+名+into+名》 
(いくつかの事実・材料から)〈物語・計画など〉‘を'作り上げる,組み立てる《+名+from+名》 
(ある物語・計画などに)〈事実・材料など〉‘を'組み立てる《+名+into+名》 
《weave one's way の形で》縫うように進む 
織り[方];編み[方]","Oh, what a tangled web we weave- Sir Walter Scott",ああ、我々はなんて複雑に入り組んだクモの巣をかけているのだ−ウォルター・スコット卿
activate,始動する,ˈæktəˌveɪt,To make something start working,"…'を'活動的にする 
…‘に'放射能を与える 
〈物質〉'を'活性化する",the pressure activates the tripper and releases the water,圧力は、始動装置を動かし、水を放出する
acute,鋭い；深刻な；急性の,əˈkjut,strong; very serious or severe,"(先の)『鋭い』,とがった 
(痛み・感情などが)『激しい』,強い 
(知力・感覚などが)『鋭い』,鋭敏な 
(事態が)重大な 
(病気が)急性の 
(音が)高い,鋭い 
鋭角の",A blind person's hearing is often very acute.,目が見えない人の聴力は鋭敏な場合が多い。
adjacent,隣接した,əˈʤeɪsənt,"being close or near to a border, wall, or point","《文》近接の,隣接している;(…に)すぐ近くの《+『to』+『名』》",The post office is adjacent to the library.,郵便局は図書館の隣にある。
adverse,逆の；不利な,ædˈvɜrs,negative or harmful,"反対の,逆の 
逆方向の",Is there any adverse reaction?,副作用はありませんか。
aesthetic,美的な,ɛˈsθɛtɪk,concerning the sense of artistic beauty,美学の;審美的な,Their furniture is more aesthetic than practical.,彼らの家具は実用的と言うよりも美的である。
aluminum,アルミニウム&nbsp;,əˈlumənəm,very light silvery-white metal used to make cans,《米》アルミニウム(金属元素の一つ;化学記号は『Al』;《英》alminium),"Chirori was made of copper or tin in the past and in recent years there are chirori made of aluminum.
","かつては銅または錫製、近年ではアルミ製の物もある。
"
ancestor,祖先,ˈænˌsɛstər,a person from your family that lived in the past,"(一人の)『先祖』,祖先(forefather) 
(事物の)原型,先駆 
(生物の)原型種",We should worship our ancestors.,私たちは祖先をうやまうべきだ。
anthropology,人類学,ˌænθrəˈpɑləʤi,the study of human origins and the development of society,人類学,He majors in social anthropology.,彼は社会人類学を専攻している。
array,配列,əˈreɪ,a large group of people or things; a regular order or arrangement; in maths: a series of figures.,"〈軍隊など〉'を'整列させる,配置する 
《文》〈人〉‘に'衣類を着せる,(特に)〈人〉'を'盛装させる 
〈U〉整列,陳列 
(…の)整列(配置)した物(人),勢ぞろい《+『of』+『名』(複数)》 
〈U〉衣装,(特に)美しい装い",The value of the In Record will be set into some array variables.,ＩｎＲｅｃｏｒｄの値を、複数の配列変数に設定します
arrow,矢印,ˈæroʊ,a symbol to give direction; a long piece of wood shot from a bow,"『矢』 
(用途・形などが)矢に似た物;(記号の)矢印(→)","By the age of seven, he had already made his own bow and arrows.",７歳の時、すでに自ら弓と矢を作った。
articulate,考えをはっきり言う,ɑrˈtɪkjələt,to express something clearly using language,"(音節や単語が)はっきり話される,分節的な 
(自分の考えなど)はっきりと表現できる;(人が)考えを口に出せる 
(動物が)関節のある 
〈語・音節〉'を'はっきり発音する 
〈気持・考えなど〉'を'はっきり表現する 
…'を'関節でつなぐ,接合する","he was articulate if somewhat abrupt.
","どこ か 無愛想 だ が きっぱり と 言っ た 。
"
artificial,人工の,ˌɑrtəˈfɪʃəl,not made by people; not created by nature,"『人造の』,『人工の』,人為的な 
模造の 
不自然な,見せかけの",I found them lying on the artificial grass.,彼らは人工芝の上に横たわっていた。
auction,競売で売る,ˈɑkʃən,To sell to a person offering the highest price,"〈C〉〈U〉『競売』,せり売り 
〈U〉=auction bridge 
〈物〉'を'競売にかける,せり売りする","I also, same as you, don't trust Yahoo Auction ratings.",あなた同様私もヤフオクの評価が信じられません。
audio,音声の,ˈɑdiˌoʊ,concerning sound,"(電波の)可聴周波の,低周波の;(テレビの)音声の 
(テレビの)音声[部門]","The telephone exchange section at the Maritime Self-Defense Force Maizuru District Headquarters (telephone number: 0773-62-2250): select ""a public relations officer"" following the audio guidance.
","海上自衛隊舞鶴地方総監部電話交換係（電話番号：0773-62-2250）音声案内のあとに「広報係｣と。
"
autonomy,自治権；自立性,ɔˈtɑnəmi,the power to make independent decisions,"〈U〉(行動などの)自主性 
〈U〉自治,自治権 
〈C〉自治体,自治団体","The demise of the shoen system (manorialism) and the establishment of a unified authority collapsed the autonomy function of the temples and during the early-modern times shue became just a council institution in the temples, but the autonomy as seen in the shue in such temples, in the organization called ""XXX shu"" which had the decision making function by the council system, in the soson (a community consisting of peasants' self-governing association) and in the city during the medieval and the modern period, which, some thought, were linked with the formation of the system of autonomy during the early-modern times in Japan.
","荘園制の崩壊や統一政権の樹立によって寺院の自治機能が解体され、集会も近世期には寺院内の評議機関の1つに過ぎなくなるが、こうした寺院における集会と中世・近世における合議制による意思決定機能を有した「○○衆」と呼ばれる組織や惣村や都市などに見られる自治など、前近代の日本における自治制度の成立と結びつける考え方もある。
"
barrel,樽；バレル,ˈbærəl,a round container with curved sides and flat ends,"(胴のふくれた)『たる』 
(…の)1たる[の量]《+『of』+『名』》 
銃身,砲身 
《単数扱い》(…の)多量《+『of』+『名』》《話》 
…'を'たるに入れる,たるに詰める",Middle Eastern oil prices jumped by five dollars per barrel.,中東の石油価格は１バレル当たり５ドルほど跳ね上がりました。
basin,たらい；盆地,ˈbeɪsən,a sink; a place in a bathroom to wash your face,"『たらい』,はぢ(bowl);洗面器 
(…の)たらい1杯[分]《+『of』+『名』》 
(自然または人工の)水たまり,池 
(川の)流域;くぼ地,盆地 
入江,内湾,船だまり",This district forms a basin.,この地方は盆地になっている。
biologist,生物学者,baɪˈɑləʤɪst,a scientist who studies living things,生物学者,The biologist is proud of his historic discovery.,その生物学者は自分の歴史的な発見を誇りに思っている。
biology,生物学,baɪˈɑləʤi,the study of living things,『生物学』,He studies biology very hard.,彼はとても熱心に生物学を研究する。
bizarre,奇妙な,bəˈzɑr,odd or strange,"一風変わった,変な(odd);奇怪な,異様な(grotesque)",it seemed a bizarre ceremony to uninitiated western eyes,それは、経験のない西洋人の目には奇怪な式典のようだった
bonus,ボーナス；賞与,ˈboʊnəs,extra money for achieving/exceeding target,"ボーナス,特別手当;特別配当金 
桂品,おまけ 
《話》思いがけない喜び[を与えるもの]","First of all, he will aim for a boost in winter bonus payments.",彼はまずは冬のボーナスアップを狙う
bubble,泡,ˈbʌbəl,a small ball of air inside of a liquid,"〈C〉『あわ』,あぶく 
〈U〉あわ立ち,あわ立ちの音 
〈C〉(すぐ消える)あわのようなこと 
〈C〉『シャボン玉』 
『あわ立つ』 
ぶくぶくと音を立てる,あわ立って流れる 
〈特に女性が〉気持をわかす,はしゃぐ《+『over』》",He blew soap bubbles.,彼はシャボン玉をとばした。
bulk,【名/U】かさ、容積、大部分,bʌlk,big size; largeness; heaviness,"『かさばっていること』 
《the bulk》(…の)大部分,大半《+『of』+『名』》 
ばら荷;(船の)積み荷 
かさばる,大きく見える",He finished the bulk of his work before dinner.,彼は夕食前に仕事の大部分を終えた。
bullet,弾丸,ˈbʊlət,metal object fired from a gun,"『弾丸』,銃弾,小銃弾","Traffic was also disrupted including the suspension of the Akita, Tohoku bullet train.",東北・秋田新幹線が運転を見合わせるなど交通も混乱した。
bundle,束，束ねる,ˈbʌndəl,a group of things that are tied together,"(…の)『束』,『包み』,巻いたもの(旅行者の荷物など)《+『of』+『名』》 
…'を'包みにする,束にする 
(…に)…'を'ごっちゃに投げ込む《+『名』+『into』+『名』》 
荷物をまとめてさっさと出て行く《+『off』(『out』,『away』)》",The books were tied up in a bundle.,本は一まとめにしっかり縛ってあった。
calcium,カルシウム,ˈkælsiəm,"a substance important for human and animal health, particularly for making bones and teeth",『カルシウム』(金属元素;化学記号は『Ca』),The vitamin D contained in milk and dried baby sardines helps in calcium absorption,牛乳やじゃこのビタミンＤがカルシウムの吸収を助けます
campus,キャンパス,ˈkæmpəs,"the site of an institution, such as a university campus","(大学などの)『構内』,キャンパス;学園 
《米》(大学の)分校",I saw a bright red Ferrari parked at the campus gates and my jaw just dropped.,大学の門の前に真っ赤なフェラーリが停めてあるのを見て、アングリした。
capitalism,資本主義,ˈkæpɪtəˌlɪzəm,economic system based on private ownership of money,資本主義,undisguised bare-knuckle capitalism,あからさまな、なりふり構わない資本主義
capitalist,資本家； 資本主義者,ˈkæpətəlɪst,one believing in private ownership of money,"資本家 
《まれ》資本主義者","They must revive the relations between themselves and the capitalists and landlords,
","労働 者 は 、 自分 たち の 内部 における 相互 の 関係 や 、 資本 家 たち や 地主 と の 関係 を 改め なく て は なり ませ ん 。
"
censor,検閲官，検閲する,ˈsɛnsər,"to remove parts of a book, film or letter for moral, religious, or political reasons","(出版・報道・映画・手紙などの)検閲官 
(古代ローマの)監察官 
(人の)批評をする人,やかまし屋 
…'を'検閲する","""Talking about 108, that's the number of worldly passions."" ""What worldly passions have you got then?"" ""I could say, but it'll get censored out.""",「百八といえば煩悩の数だ」「お兄ちゃんはどんな煩悩があるの？」「言ってもいいが、検閲削除になるぞ」
chemistry,化学,ˈkɛməstri,the study of the structure of substances,"『化学』 
化学的性質,化学反応,化学作用","Which do you like better, physics or chemistry?",物理学と化学とどちらがお好きですか。
chronic,"【形】（病気が）長期にわたる,慢性の； 常習の,癖になった",ˈkrɑnɪk,over a long time; serious,"【形】(病気が)長期にわたる,慢性の 
《名詞の前にのみ用いて》常習の,癖になった",She suffers from a chronic malady.,彼女は慢性の病気にかかっている。
chunk,大きな塊,ʧʌŋk,a large bit of something; thick lump,"(…の)厚切り,厚いかたまり《+『of』+『名』》 
かなりの量(額,部分)",the new start-up company carved out a large chunk of the market within a year,新しい新興企業は、1年以内に市場の大半を切り開いた
cinema,映画；映画館,ˈsɪnəmə,a place for showing movies,"〈C〉『映画館』(《米》movie theater) 
《the ~》映画産業;《集合的に》『映画』(《米》movie[s])",Her father didn't allow her to go to the cinema alone.,父は彼女が一人で映画に行くのを許さなかった。
classification,分類,ˌklæsəfəˈkeɪʃən,putting similar items into groups or sets,"【名/U/C】分類（作業）；分類法；分類結果 
【名/U】《生物学上の》分類","So that, if the question is construed to be simply a question of material fact, as to the earliest emergence of usages which would in the latter-day classification be brought under the head of ownership, then it would have to be said that ownership must have begun with the conversion of these articles to individual use.
","したがって 、 問題 が 単純 に 素材 的 な 事実 の 問題 だ と いう の で あれ ば 、 後 の 時代 に は 所有 権 という 見出し の もと に 分類 さ れる よう な 慣習 の 最初 の 出現 について 言え ば 、 所有 権 は 、 これら の 品物 が 個人 的 使用 に 転じる こと によって 始まっ た に 違い ない と 言う べき で あろ う 。
"
classify,分類する,ˈklæsəˌfaɪ,To arrange things into groups of similar items,"【動/他】(…に)…'を'『分類する』,類別する,等級別にする《+『名』+『into』+『名』》 《米》〈文書類など〉'を'機密扱いにする","In woodworking, we classify wood as hardwood, softwood or exotic wood.",木工芸では、木を、硬木、軟木と、唐木に分類します。
clay,粘土,kleɪ,"heavy, sticky earth used to make pottery","『粘土』;泥土 
(聖書で,人間の肉体が造られているとされる)土",Henry Clay was known as the Great Compromiser,ヘンリー・クレイは、偉大な妥協者として知られていた
click,クリックする,klɪk,to press a computer mouse to do something on a computer,"(掛け金をかけたり,錠を回したりする時の)『カチリという音』 
カチリと鳴る物;掛け金 
『カチリと音がする』 
《英俗》〈男女が〉意気投合する;(…と)カチッと気が合う《+『with』+『名』》 
《話》成功する,うまくいく 
《話》(…に)分かる,のみこめる《+『with』+『名』》 
…'を'カチリと鳴らす",Click the picture to go to the next page!,画像をクリックすると次ページへ移ります！
clone,クローンを作る,kloʊn,to make an exact copy of a living thing,"クロン(一個体から無性生殖で増殖した有機体群);(植物の)栄養系,(動物の)分技系","Looking back at the time, all Someiyoshino trees are linked to a single tree, and all Someiyoshino can be called clones of that Someiyoshino.
","全てのソメイヨシノは元をたどれば同一の一本に繋がり、全てのソメイヨシノが一本のソメイヨシノのクローンとも言える。
"
closure,終末,ˈkloʊʒər,the act of closing something,"〈U〉閉鎖;閉店,休業 
〈U〉終止,終局 
〈C〉《英》=cloture","In addition, temporary closure may take place.
","その他臨時休館する場合あり
"
cognitive,【形】認知の,ˈkɑgnɪtɪv,the process of knowing and remembering,"認識の(に関する,を要する)",cognitive psychology,認知心理学
coherent,まとまった；理解しやすい,koʊˈhɪrənt,(of language/ideas) logical and well-organized,"密着する 
(論理などが)筋の通った,首尾一貫した","out of which a coherent and stable system could seemingly emerge only by a succession of miracles.
","そして そこ から 一貫 し た 安定 な システム が 出 て くる なんて 、 奇跡 が いくつ も 続か なけれ ば 不可能 に 思え た 。
"
commodity,商品；日用品,kəˈmɑdəti,"Something useful or valuable, usually for sale","『日用品』,必需品;商品",Sometimes water becomes a precious commodity.,水も高価な商品になることがある。
compact,小型の，圧縮する,ˈkɑmpækt,packed together; closely united; small,"『ぎっしり詰まった』,目詰んだ,緊密な;(体格が)引き締まった 
こぢんまりして経済的な,小さくまとまった 
(文体などが)簡潔な 
…'を'ぎっしり詰める;…'を'圧縮する 
コンパクト(鏡,おしろい,パフの携帯用ケース) 
中型自動車(compact car)","There are many smart designs among the compact models, aren't there?",コンパクト型にはおしゃれなデザインが多いですね。
comparative,比較の,kəmˈpɛrətɪv,expressing a difference in degree,"『比較の』,比較による 
比較的,かなりの 
比較級の 
比較級","After many hardships, he now lives in comparative ease.",多くの苦難の後彼は今かなり楽な生活をしている。
competence,"【名/U】能力,適性 / (法律上の)権限・力量 /《まれ》《a~》相当の資産",ˈkɑmpətɪns,ability to do something in a fully satisfactory way,"〈U〉能力,適性・〈U〉(法律上の)権限・力量・《まれ》《a~》相当の資産",Ted doesn't have the competence to teach English.,テッドは英語を教える能力がない。
complement,補足， 補足する； 完全にする,ˈkɑmpləmənt,something needed to complete or make perfect,"(あるものを完全にするため)(…を)補う物(事)《+『of』+『名』》 
補語(文法で文の成分の一つ) 
(必要な)全数,全量;(船の)定員 
…を補足する,補う","There are two ways of using the infinitive as an adjective, 1. attributive, 2. predicative. Naturally 2. is a subject complement.",不定詞の形容詞的用法には２種類あり、（１）限定用法、（２）叙述用法。（２）はもちろん主格補語です。
comply,従う,kəmˈplaɪ,to act in agreement with another's wishes; to obey a rule,"(要求・命令・規則などに)『従う』,応ずる《+『with』+『名』》",I can not comply with your request.,私はあなたの要求に応じられない。
comprehension,"【名/U】理解,理解力 / 包含,包括,包容力",ˌkɑmpriˈhɛnʃən,ability to understand,"【名/U】理解;理解力 
【名/U/C】理解度測定試験
【名/U】包含,包括;包容力",His novel is beyond my comprehension.,彼の小説は私には理解できない。
configuration,形状,kənˌfɪgjəˈreɪʃən,a shape or outline; a method of arrangement,"(全体の)形状,外形;(部分の)配置;(星の)星位;原子配列",We encounter similar difficulties when we substitute rectangles for triangles in this configuration.,この構成において、三角形の代わりに長方形を用いても類似の困難が生ずる。
consensus,合意；コンセンサス,kənˈsɛnsəs,a decision that is shared by most of the members of a group,"(多人数の意見などの)一致,調和《+『of』+『名』》;一致した意見,総意",The Prime Minister stated that he would not introduce a new tax without the consensus of public opinion.,首相は国民の合意がなければ新税は導入しないと言明した。
contrary,逆の，反対,ˈkɑntrɛri,different; opposite,"【形】『反対の』,相いれない
 逆の,逆方向の;意に反した
《話》ひねくれた,強情な,意地の悪い(perverse) 
【名/C】《the~》『正反対』
《しばしば複数形で》相反するもの；相反する性質
【副】（…の）反対に,逆に；（…に）反して《+『to』+『名』〈事〉,+『with』+『名』〈人〉》",My opinion is contrary to yours.,僕の意見は君のと反対だ。
cord,ひも；コード,kɔrd,"a long, strong material, thicker than string but not as thick as rope; an electrical wire","〈U〉〈C〉『綱,ひも』(stringより太くropeより細い) 
〈U〉〈C〉束縛,きずな 
〈C〉〈U〉(電気の)『コード』,線 
(またchord)〈C〉(動物体の)索状組織,腱(けん) 
〈C〉うね織り,(特に)コールテン;(うね織りの)うね;《複数形で》コールテンのズボン 
〈C〉コード(材木の容積の単位で約6.25m) 
…'を'綱(ひも)で縛る",They made a whip out of cords.,細縄で鞭を作った。
credibility,"【名/U】信頼性,信用性",ˌkrɛdəˈbɪlɪti,quality of being believable or deserving of trust,"信用できること,確実性",the lawyers tried to impeach the credibility of the witnesses,弁護士は目撃者の真実性を告発しようとした
critique,批評,krəˈtik,a review of the quality of a work,"〈C〉(美術・文芸作品などに関する)評論 
〈U〉(一般に)論評,批判","In the early stages of the dispute, Saicho criticized ""Bushosho"" by Tokuitsu in ""Shogon-jikkyo,"" but Tokuitsu did not answer at all to Saicho's critique in ""Chuhen gikyo.""
","なお諍論の前期において、最澄が『照権実鏡』で徳一の『仏性抄』を批判したのに対し、徳一の『中辺義鏡』では最澄の反論に全く答えていない。
"
crude,原油，自然の；粗雑な,krud,"basic or made without skill, such as a crude drawing","(原材料が)『天然のままの』,未加工の 
(製品・作品などが)仕上がりの悪い,荒造りの 
(言葉・態度・考え方などが)粗雑な,不作法な 
=crude oil",It is only recently that crude oil has come to be used to make chemical products.,石油が化学製品の材料として用いられるようになったのはごく最近のことである。
deadline,締め切り,ˈdɛˌdlaɪn,a date or time before which something must be done,最終期限;(新聞・雑誌などの)原稿〆切（締切）時間・最終期限,There will be hell to pay if I don't make this deadline.,もし期限切れになったら、大変なことになるよ。
decay,腐敗；減衰，腐敗する；崩壊する,dəˈkeɪ,to be slowly broken down by natural processes,"『腐る』,朽ちる 
〈繁栄・健康などが〉『衰える』,衰退する;〈活力などが〉低下する 
〈他〉 
…'を'『腐らせる』 
『腐敗』;腐朽 
『衰微』,衰え 
(放射性物質の)自然崩壊",Too many sweets cause your teeth to decay.,甘いものを食べ過ぎると虫歯になるよ。
defect,欠陥,ˈdifɛkt,a problem; a fault,"〈C〉『欠点』,弱点,欠陥 
〈U〉〈C〉《古》不足,欠乏 
(国・党・主義などから)離脱する,裏切って出る《+『from』+『名』》;離反して(…に)転向する《+『to』+『名』》",A quick temper is the only defect in her character.,彼女は気が短いのが玉にきずだ。
deficiency,"【名】不足,欠乏,欠如；不足分,不足量；欠点;欠陥,不備",dɪˈfɪʃənsi,without something that is necessary,"〈U〉〈C〉(…の)(量・額などの)不足,欠乏《+『of』(『in』)+『名』》 
〈C〉不足分,不足量,不足額 
〈C〉(精神・肉体などの)欠陥",ADA deficiency can lead to one form of severe combined immunodeficiency disease,ADAの欠乏によって深刻な複合免疫不全症の1つの形態になる可能性がある
dependence,依存,dɪˈpɛndəns,relying on someone for (financial) support,"(…に)頼ること,(…への)依存,依頼《+『on(upon)』+『名』》 
(…への)信頼,信用《+『on』+『名』》","for the first time in world history, mechanical reproduction emancipates the work of art from its parasitical dependence on ritual. 
","歴史 上 、 初めて 機械 的 な 複製 は アート 作品 を 儀式 的 な もの に 寄生 し て 頼ら なけれ ば なら ない と いう こと から 解き放っ た の だ 。
"
destination,目的地；宛先,ˌdɛstəˈneɪʃən,the place one is traveling to,"(旅行・航海などの)『目的地』,行き先;(物の)『送付先』,到着地",They made straight for their destination.,彼らは目的地へ向かってまっすぐすすんだ。
diagnose,【動/他】（病気）を診断する,ˌdaɪəgˈnoʊs,"to determine the cause of something, e.g. an illness",【動/他】（病気）を診断する,"As a result, he was diagnosed with insomnia and anxiety neurosis near the end of May.",その結果、５月下旬に不安神経症や不眠症と診断された。
diagnosis,【名】診断；診断書；原因調査,ˌdaɪəgˈnoʊsəs,a judgment by a doctor about a person’s illness,"診断[書] 
(問題の原因などの)判断,分析 
(問題の)解決;結論","A Diagnosis of Death 
","死 の 診断
"
diagram,図,ˈdaɪəˌgræm,a drawing intended to explain how something works,"説明図,略図;図表,予定表,グラフ;図解 
…‘を'図解する,図示する,‘の'図表を作る",These diagrams demonstrate different possible approaches to job seeking.,これらの図式は求職に関する様々なアプローチを示している。
diameter,直径,daɪˈæmətər,the distance across the center of an object,"『直径』 
(レンズなどの)倍率",The pond is 100 meters in diameter.,その池は直径１００メートルある。
diary,日記,ˈdaɪəri,blank book in which you write what you did each day,"『日記』,日記帳,日誌","I'm introducing some pictures I took, dabbling in photography, along with my diary.",下手の横好きで撮影している写真を日記とともに紹介しています。
dictionary,辞書,ˈdɪkʃəˌnɛri,a book with the spellings and meanings of many words,"『辞書』,辞典,字引き",The good thing about this electronic dictionary is that it's easy to carry.,この電子辞書は携帯しやすいところが味噌です。
differentiate,【動/自】分化する 【動/他】を識別する、を差別化する,ˌdɪfəˈrɛnʃiˌeɪt,to see or show a difference between things,"(…から)…‘を'『区別する』,識別する《+『名』+『from』+『名』》 
…‘を'微分する 
(…を)区別をつける,(…を)識別する《+『between』+『名』》 
別のものとなる",the differentiated markings of butterflies,蝶の異なった模様
differentiation,"【名/U】区別,識別；差別化；分化；微分法",dɪfəˌrɛnʃiˈeɪʃən,a discrimination between things as different and distinct,"【名/U】区別,識別；差別化
《生物》分化
《数学》微分法","When 'nascent senses' are spoken of, when 'the differentiation of a tissue at first vaguely sensitive all over' is spoken of, and when these processes are associated with 'the modification of an organism by its environment,' the same parallelism, without contact, or even approach to contact, is implied.
","「 生成 し つつ ある 感覚 」 について 語る とき 、 「 最初 は 至る とこ で ぼんやり と 繊細 で あっ た 組織 の 分化 」 について 語る とき 、 これら の 過程 を 「 環境 による 有機 体 の 変化 」 と 結びつける とき 、 接触 が なく 、 また 接触 しよ う と 近づく こと さえ ない のに 、 同じ 平行 現象 が 暗示 さ れ て いる の です 。
"
dilemma,ジレンマ,dɪˈlɛmə,a position in which a person must make difficult choices,"『板ばさみ』,抜きさしならない羽目,窮地 
(論理学で)両刀論法","This was because there was the following dilemma behind this background; while the British parliamentary cabinet system itself demanded by the group of the Freedom and People's Rights Movement was denied and the absolutization of the Emperor's power was aimed, the direct introduction of the German Empire's system could lead to 'the direct rule by the emperor,' which was demanded by the conservatives in the Imperial Court who had gained the confidence of the Emperor Meiji at the time, because the authorization of the Emperor under the German Empire's system was so strong.
","なぜなら、自由民権派が求めるようなイギリスの議院内閣制そのものは否定して天皇の権威の絶対化を目指すものの、同時にドイツ帝国の体制は皇帝の権限が強すぎるためにそのまま導入した場合、当時明治天皇からの信任が厚かった宮中保守派（中正派）が求める「天皇親政」への道を開き兼ねないとというジレンマがあったからである。
"
dioxide,二酸化,daɪˈɑkˌsaɪd,an oxide containing two oxides per molecule,二酸化物,Tropical rainforests produce oxygen and consume carbon dioxide.,熱帯雨林は、酸素を作り、二酸化炭素を消費する。
disadvantage,不利な点,ˌdɪsədˈvæntɪʤ,a negative point; a downside; difficulty,"〈C〉『不利な立場』(状態) 
〈U〉『不利』,不利益;(名声・信用などの)損傷,損失","My sister is clumsy, which is a disadvantage to her.",妹は要領が悪くて損ばかりしている。
displacement,移動；置換,dɪˈspleɪsmənt,the act of taking the place of something or someone else,"とって代わること,置き換え 
解職,罷免 
排水量","He took the passenger boat President Wilson (managed by American President Line, with a speed of 19 knots and a displacement of 15,395 tons).
","客船プレジデント・ウイルソン号（アメリカンプレジデント社、速度19ノット、排水量1万5395トン）に乗船した。
"
dissolve,溶解する,dɪˈzɑlv,to melt into a liquid so that a substance mixes with the liquid itself,"…‘を'『溶かす』,溶液にする 
…‘を'解消する,終りにする 
…‘を'分解する;…‘を'解明する 
〈物質が〉『溶ける』,溶解する,液化する 
〈霧などが〉消散する,四散する(disperse) 
次第に消滅する,次第に薄れる(fade away) 
(強い感情に)負ける",He dissolved some sugar in his coffee.,彼はコーヒーに砂糖を溶かした。
domain,領域；ドメイン,doʊˈmeɪn,"a field of action, thought or influence; an area of knowledge","(国の)領地,領土;(個人の)所有地 
(関心・活動などの)範囲,分野 
(個人・一族の)所有地 
(数学で)変域(関数の独立変数がとる値の集合)",domain names are organized hierarchically with the more generic parts to the right,ドメイン名は右に行くにつれてより総称的になるよう、階層的に組織されている
donor,寄贈者,ˈdoʊnər,a person or group that gives gifts or money to help support an organization or cause,"寄付者,寄贈者 
(移植用の組織・器官の)提供者,献血者","Kai koku shi (Records of Kai Province)' describes that Tokuhon NAGATA, a noted Chinese medicine doctor, examined shogun of the Takeda family according to this art of divination, and that the Ito's ancestor was listed as a donor for the building of Manseizan Myoki-in Temple (a branch temple of Choyozan Seikozen-ji Temple).
","「甲斐国志」によると永田徳本という漢方医の達人がこの易学を以って武田家将軍の診察に当っており、また伊藤家の祖先の名前も万生山妙喜院（朝陽山清光禅寺の末寺）を寄進建立したとして記載されている。
"
duration,持続；継続期間,ˈdʊˈreɪʃən,the length of time that something lasts,"【名/U】（時間の）持続,存続,継続
存続期間,持続時間",You can set the transition effect duration to be between 1-60 seconds.,あなたはトランジッション効果の持続時間を１秒から６０秒の間で設定できます
dynamic,動的な; 活動的な,daɪˈnæmɪk,always active or changing; in physics: a force related to motion,"【形】動力の,動的な
（人・思想などが）精力的な,活力のある","Boston Dynamic's robot, RHex, is an amazing piece of work that can run over various terrains.",Boston Dynamicsのロボット「RHex」は、いろんな地形を走れるすごいやつです。
ecological,生態学的な,ikəˈlɑʤɪkəl,"concerning the environment, plants, or animals",生態学の,Zen's latest mission is to save the Earth from ecological destruction at the hands of a plant-destroying madman.,ゼンの最新の任務は、緑の絶滅を図る狂人による生態系破壊から地球を救うことです。
electron,電子,ɪˈlɛktrɑn,a negatively charged particle,"『電子』,エレクトロン",the sharing of electrons creates molecules,電子共有は分子を生成する
elementary,初等の,ˌɛləˈmɛntri,"basic, simple, or essential","『初歩の』,基礎の",It is practically unthinkable that a scientist of his stature would have made such an elementary mistake.,彼ほどの確立した科学者がそのような初歩的な誤りを犯すとは実際上考えられないことである。
emperor,皇帝,ˈɛmpərər,man who rules an empire,皇帝;(日本の)天皇,"I think there are probably few Japanese who know this side of the Emperor Meiji, the side that left a song like this.",こんな歌を残している明治天皇の一面を知っている日本人は少ないのではないだろうか。
