英単語,訳,発音,英語の意味,解説,用例,用例・訳
slowly,ゆっくりと,ˈsloʊli,in an unhurried or not speedy manner,"『遅く』,『ゆっくり』",You're speaking a little too fast for me. Would you speak a little more slowly?,話し方がちょっと速すぎて私には分かりません。もう少しゆっくり話していただけませんか。
small,小さい,smɔl,Little in size; not big,"(大きさが)『小さい』,小形の;(量が)『少ない』,わずかな 
『取るに足りない』,ささいな(trivial) 
《名詞の前にのみ用いて》(仕事・活動などが)『小規模の』,ささやかな 
心が狭い,利己的な 
(音・声が)弱い,小さい 
(文字が)小型の,小文字の 
《the~》小さいもの;(…の)細い部分《+『of』+『名』》 
《複数形で》《英》(衣類・ハンカチなどの)小物,小間物 
小さく,細かく 
(声などが)低く,弱く 
小規模に,こぢんまりと",Thousands of small businesses went under during the recession.,無数の小企業が不景気のときに倒産した。
smell,におい，においを嗅ぐ；においがする,smɛl,To use the nose to sense something,"(調べたりするために)…‘を'『かぐ』,‘の'においをかぐ 
…‘を'においで気づく,‘の'においに感づく 
…‘に'感づく,‘を'かぎ出す《+『out』+『名』,+『名』+『out』》 
〈物が〉『においがする』,におう 
〈人・動物が〉においがわかる;(…の)においをかぐ《+『at』+『名』》 
(特に)いやなにおいがする 
〈物事が〉何かにおう,(…の)感じがする《+『of』+『名』(doing)》 
〈U〉『嗅覚』(きゅうかく) 
〈C〉(…の)『におい』《+『of』+『名』(do『ing』)》;《形容詞句を伴なって》悪臭 
〈C〉《a smell》(…を)かぐこと《+『at(of)』+『名』》",She sent me a postcard that said she hates the smell of animals.,彼女が私に送ってきてくれた葉書には、動物のにおいが大嫌いだと書かれていました。
smile,ほほえむ，笑顔,smaɪl,To put up the corners of mouth to show happiness,"『ほほえむ』,にっこりする・〈好運・神などが〉(…に)好意を示す《+『on』(『upon』)+『名』》・《a+形容詞+smileを目的語にして》…‘な'笑い方をする・…‘を'ほほえんで示す・〈人〉‘に'ほほえみかけて(…)させる(させない)《+『名』〈人〉+『into』(『out of』)+『名』(do『ing』)》・『ほほえみ』,微笑",She smiled to smooth things over.,取り繕うように、笑ってみせる。
smoke,喫煙,smoʊk,To breathe in through a cigarette and then blow it out,"〈U〉『煙』;煙状のもの 
〈C〉たばこの一服,喫煙 
〈C〉《話》たばこ,(特に)紙巻きたばこ 
『煙を出す』,煙る;湯気を立てる 
『たばこを吸う』 
〈たばこ・麻薬など〉‘を'『吸う』 
〈肉・魚〉‘を'『薫製』(くんせい)『にする』,いぶす","""Probably just a stupid urban legend"" ""But they do say 'there's no smoke without fire', don't they?""",「くだらねえ都市伝説だろう」「でも、火のないところに煙は立たないというけどね」
snow,雪，雪が降る,snoʊ,icy material falling from the clouds,"〈U〉『雪』 
〈C〉《単数形で》『降雪』;《複数形で》積雪 
〈U〉〈C〉雪のような物;(特に)コカイン,ヘロイン 
《itを主語にして》『雪が降る』 
(…に)雪のように降る《+『on』+『名』》;雪のように舞い込む《+『in』》 
…‘を'雪のように降らせる 
…‘を'雪でおおう(閉じ込める)《+『名』+『in』(『under, up』)》",At that time the snow plow was certainly our hero.,このとき除雪車は確かに私たちの英雄でした。
soft,やわらかい；穏やかな,sɑft,"Easy to press, bend or cut; not hard or firm","(押されて形を変えるほど)『柔らかい』 
(木材・金属などが,同種の中で比較的)『柔らかい』 
(斤ざわりの)なめらかな,すべすべした 
(声・音が)穏やかな,低い,静かな 
(見た目に)どぎつくない,落ち着いた 
(天候・気候が)穏やかな,温和な 
(心・言動が)優しい,もの柔らかな 
(体または精神などが)軟弱な,虚弱な 
(市況・相場が)弱気の,下がり気味の 
(水が)軟性の 
(水音が)軟音の 
アルコール分を含まない 
柔らかに 
静かに",Her voice was soft and beautiful.,彼女の声は優しく綺麗だった。
some,いくらかの；ある；およそ,sʌm,Used to refer to an unspecified amount or number,"《複数名詞または数えられない名詞を伴って》『いくらかの』,多少の,少しの・《複数名詞または数えられない名詞を伴って》『一部の』,中には[…もある],…である[ものもある] ・《単数普通名詞を伴って》『ある』…,何か[の],どこか[の] 
《数詞を伴って》『約』…,…くらいの,…ばかり・《数量を表す名詞を伴って》相当多い,かなりの・《話》たいした,相当な,なかなかの・『いくらか』,多少,少し,幾分・『ある人たち,あるもの』,[…する人]もある・いくらか,多少,少しは(somewhat) ・かなり,相当",Is there some way to check for ovulation?,排卵の有無を調べる方法はありますか？
somebody,"【代】｟くだけて｠ 誰か, ある人【名/C/U】ひとかどの人物【U】（名前不詳の）誰か",ˈsʌmˌbɑdi,Person who is not known or named,"『だれか』,ある人・〈C〉〈U〉ひとかどの人物,相当な人・〈U〉(名前不詳の)だれか",This wasn't here this morning ... looks like somebody's been fly tipping.,今朝こんなの無かったけど・・・誰かが不法投棄したみたい。
somehow,どういうわけか；なんらかの方法で,ˈsʌmˌhaʊ,In a way that is not known or certain,"『どうにかして』,なんとか 
《おもに話》『どういうわけか』",I want you to somehow resolve the situation as promptly and avoiding to cause trouble for my sister and those around us as much as possible.,なるべく姉ちゃんにも周りにも迷惑をかけずに、事態の早期解決をなんとか頼むぞ。
someone,"【代】｟かたく｠誰か,ある人",ˈsʌmˌwʌn,person who is not known or named,"『だれか』,ある人",Is it any of your business what someone's hobby is?,誰がどんな趣味だろうと君の知ったことか？
something,何か,ˈsʌmθɪŋ,thing that is not yet known or named,"『何か』,あるもの,あること 
(…を)いくらか,多少,いささか《+of+名》 
重要なこと(もの,人),かなりのもの,相当な人 
何か現実のもの;実在するもの,実在 
何か食べ物(飲み物) 
何々,これこれ 
いくぶん,多少","Causing competitors to fail, obtaining confidential information, something that big business just can't do without - high risk but at the same time high return work.",敵対企業を貶めたり、秘密情報を入手したりと、大企業に欠かせない存在であるため、ハイリスクながらハイリターンが望める仕事だ。
sometimes,ときどき,səmˈtaɪmz,only at certain times; occasionally,"『ときどき』,ときには",I've sometimes taken time off work to watch the Super Bowl.,スーパーボウルを見るために会社を休んでいた事もありました。
somewhere,どこかに,ˈsʌmˌwɛr,at or to an unknown or unnamed place,"『どこかに』(で),どこかへ 
およそ,大体 
あるところ,某所",I want to disappear somewhere! I tend to feel like that in sultry summers.,どこかへ逃避行したい。蒸し暑い夏はそんな気分になりがち。
son,息子,sʌn,male child; friendly way of addressing a boy,"『息子』・《複数形で》(男子の)子孫・《文》《比喩(ひゆ)的に》(場所・主義などの)子,後継者・《年長者が年少者に呼び掛けて》・お前さん・《the S-》イエスキリスト",My fifth-year junior school son has transferred into a school in Nagoya from Shizuoka.,小学５年の息子が静岡から名古屋の小学校に転入しました。
song,歌,sɔŋ,Some music with words in verse,"〈C〉『歌』,『歌曲』,唱歌 
〈C〉〈U〉(歌うための)詩,詩歌 
〈U〉歌うこと 
〈U〉〈C〉(鳥・小川などの)『歌うような声』(『音』)",We introduce you to the entire line up of songs that made it into The Best Ten.,ザ・ベストテンにランクインした曲を全て紹介します！
soon,もうすぐ；早く,sun,At a time not long from now,"『間もなく』,近いうちに 
『早く』,早目に 
『速やかに』,さっさと","""Er, Karin ..., shouldn't we call it a night soon?"" ""No! No quitting while ahead! Next time I'll win for sure!""",「あの、かりんさん・・・、そろそろお開きにしませんか？」「駄目、勝ち逃げ禁止！今度こそボクが勝つの！」
sorry,すまないと思う；後悔している；気の毒に思う,ˈsɑri,what you say to admit you were wrong,"《補語にのみ用いて》『悲しいと思う』,すまないと思う,残念に思う 
《名詞の前にのみ用いて》くだらない,貧弱な 
《名詞の前にのみ用いて》哀れな,惨めな 
《丁重な断り・謝罪・弁解の表現として》すみませんが,悪いけど,ごめんなさい 
《おもに英》《よく聞きとれなかったときに用いて》おそれいりますが[もう一度]","Oh, I'm sorry.",あら、申し訳ございません。
sort,種類,sɔrt,group or class of similar things or people,"『種類』,部類(kind) 
性格,性質,タイプ 
《おもに英話》《単数形で》(ある)種類の人 
…‘を'分類する,区分けする;えり分ける,選び出す《+『名』+『out,』+『out』+『名』》","Thinking about those sorts of things, I watched ""Duck Soup"" again.",そんなことを考えながら『我輩はカモである』を再見しました。
sound,音；音響,saʊnd,Waves traveling in air or water that can be heard,"〈C〉〈U〉『音』,『音響』,響き・〈U〉音の聞こえる範囲・〈C〉(音声としての)音 
《単数形で》(聞いたり,読んだりしたときに受ける)感じ,響き,調子・〈U〉(無意味な)音(声);騒音,ざわめき・『音を出す』,鳴る,響く・『聞こえる,思える』(進行形にできない) ・〈楽器・ベルなど〉‘を'鳴らす・(音で)…‘を'知らせる・…‘を'発音する・〈考えなど〉‘を'打診する",The siren sounded an emergency.,サイレンが急変を知らせました。
south,南；南の；南へ,saʊθ,direction that is the opposite of north,"〈U〉《通例the south》『南』,南方 
《the south, the South》南方[地方] 
《the South》(米国の)南部地方 
『南の』,南部の,南向きの;南からの 
『南の方へ(に)』","You don't need to bring up ""A Winter Sonata"" to show that South Korean culture is having an unexpected boom in Japan.",「冬のソナタ」を例に挙げるまでもなく、いまや時ならぬ韓流ブームである。
space,空間；間隔,speɪs,empty area with nothing in it,"〈U〉『空間』,広がり 
〈U〉『宇宙』,地球の大気圏外(outer space) 
〈C〉〈U〉『間隔』,距離;《しばしば複数形で》空地 
〈C〉(特定目的のための)『場所』 
〈U〉《しばしばa~》時間 
〈C〉〈U〉スペース,余白,余地 
〈C〉線間(譜表において五線の間の部分) 
…‘を'間隔をおいて配置する《+『out』+『名,』+『名』+『out』》",NASA says three of 22 space missions that carried generators similar to Galileo's ended in accidents.,米航空宇宙局によれば、ガリレオ搭載のものと類似した発電機を搭載して行った宇宙飛行２２回のうち、３回の飛行で事故が発生したとのことです。
speak,話す,spik,"To use words to tell information, express thoughts","『話す』,しゃべる,物を言う,口をきく 
『話をする』,うわさをする 
『演説する』,講演する,スピーチをする 
〈物事が〉表す,物語る 
〈楽器・大砲などが〉音を出す,鳴る 
〈言葉・意見など〉‘を'『言う』,話す,述べる 
〈言語〉‘を'『話す』,使う 
〈物事が〉…‘を'表す,物語る,示す 
(海で)〈他船〉‘と'通信する,通話する 
…を表す,であることを示す","Why is it you can write a letter in English this well, but can't speak in it?",こんなに上手に英語で手紙を書けるのにどうして話せないの？
speaker,話す人；演説者,ˈspikər,person who makes a speech before a group,"〈C〉『話す人』;演説者 
《the S-》(議会の)議長 
〈C〉拡声器(loudspeaker)",He's a plain speaker.,彼は思ったことを口にする。
special,特別な,ˈspɛʃəl,Different from what is usual; better or greater than normal,"『特別な』,並はずれた,例外的な 
(他と異なって)『特殊な』,特別な 
(人・物事に)『独特の』,専門の 
特別な物(人) 
《米話》…の)(値引きした)サービス品,特価[品]《+『on』+『名』》 
(テレビなどの)特別番組;臨時列車","It's not like I've got any special interest in gym shorts - I've not got that fetish, I think.",別にブルマに特別な関心があるわけじゃない。そういうフェティシズムはない、と思う。
specialist,専門家,ˈspɛʃələst,person who works in one specific area of a field or profession,"専門家 
専門医",A specialist has his own strength.,餅屋は餅屋。
specialize,専門にする,ˈspɛʃəˌlaɪz,To focus on one area of a field or profession,"(…を)『専門にする』《+『in』+『名』(do『ing』)》 
〈生物が〉(特別な環境に適応するように)特殊化(分化)する",He decided to specialize in physics at college.,彼は大学で物理学を専攻することに決めた。
spend,使う；過ごす,spɛnd,To use money to pay for something,"(…に)〈金〉‘を'『使う』《+名〈金〉+on(『for』)+『名』》 
〈時〉‘を'『過ごす』 
《文》〈力など〉‘を'使い果たす,〈自分〉‘の'力を使い果たす 
金(財産など)を使う;浪費する",How would you like to come and spend a week with us next year?,来年一週間泊まりにいらっしゃいませんか。
sport,スポーツ,spɔrt,game or physical exercise with rules,"〈U〉《集合的に》『スポーツ』,運動競技 
〈C〉(個々の)『スポーツ』,運動競技 
《複数形で》《英》運動会,競技会 
〈U〉『気晴らし』,慰め,娯楽 
〈C〉《話》スポーツマンらしい人,さっぱりした人,いい人 
〈C〉(動・植物の)変種(mutant) 
スポーツの;スポーツ用の 
(服装が)戸外の着用に適した,軽快な 
〈衣服など〉‘を'見せびらかす 
《文》(気晴らしなどで)楽しむ,遊ぶ 
からかう",In schools everywhere sports-wear is all spats and shorts.,どの学校であっても、体操着は、スパッツやハーフパンツばかりだ。
spot,【名】場所；斑点【動/他】を見つける；をしみで汚す【自】しみになる【形】即座になされる,spɑt,see someone by chance,"『斑点』(はんてん),まだら,ぶち;(太陽の)黒点 
『しみ』,よごれ;吹出物,にきび 
(…に対する)汚名,汚点《+『on』+『名』》 
『場所』,地点;部分,箇所 
(順序・組織における)位置;立場,おかれた状況 
《a spot》《英話》(…の)少量,ちょっぴり(の…);(…の)1杯《+『of』+『名』》 
(ラジオ・テレビ番組の)構成区分 
…‘を'『しみで汚す』,‘に'汚れをつける;…‘に'斑点(はんてん)をつける,‘を'まだら(ぶち)にする;( …で)…‘に'しみ(斑点)をつける《+『名』+『with』+『名』》 
〈人格・名声など〉‘を'汚す,傷つける 
(特定の場所に)…‘を'置く,配置する 
…‘を'見つける;(…だと)…‘を'見抜く《+『名』+『as』(『for』)+『名』》 
〈インクなどが〉『しみになる』;〈布などが〉汚れる 
即座になされる,即時払いの(引き渡しの) 
現場での,現地の 
(ラジオ・テレビで)番組の間に放送される 
ちょうど,ぴったり(exactly)",A cold beer would hit the spot!,冷えたビールがあればたまらないね。
spring,春,sprɪŋ,time of year when plants start growing after winter,"《副詞[句]を伴って》『跳ぶ』,跳ねる,跳躍する 
〈風・涙・考えなどが〉(…に)突然現れる(発生する,起こる)《+『up to』(『into』)+『名』》 
(ばねで)はじける,跳ね返る 
〈雑草・家などが〉突然(急速に)生まれ出る,成長する《+『up』》 
(原因から)起こる,生じる;(家柄などが…の)出である《+『from』+『名』》 
〈板などが〉そる,ひびが入る,割れる 
…‘を'跳ねさせる,跳ね返らせる 
(人に)〈提案など〉‘を'急に(不意に)車ち出す(言い出す)《+『名』+『on』(『upon』)+『名』〈人〉》 
〈板など〉‘を'そらす,割る,‘に'ひびを入れる","It was early spring, so there weren't many customers.",春先だから客もあまりいませんでした。
square,正方形；四角,skwɛr,shape with 4 equal length sides and 4 equal angles,"『正方形』;四角な物;(チェス・チェッカーなどの盤の,正方形の)目,ます目 
(四角い)『広場』(街路の交差点にあって,しばしば中央に植木や芝などが植えてあり,小公園になっている);《おもに英》広場の回りの建物(街路)(《略》Sq.) 
(四方を街路で囲まれた方形の)一区画,ブロック 
直角定規,かね尺 
(数の)『2乗』,平方(《略》sq.) 
《俗》旧式な人 
『正方形の』,四角な,直角の,直角をなす 
角ばった,がっかりした 
『平方の』,2乗の(《略》『sq.』) 
《補語にのみ用いて》対等の,五分五分の(even);貸し借りにない 
正直な(honest),公正な(fair),正しい(just) 
率直な,はっきりした,きっぱりした(direct) 
実質のある,十分な 
《俗》しゃちほこばった 
=squarely 
…‘を'正方形(四角)にする;直角にする 
…‘を'正方形(四角)に区切る《+『off』+『名』,+『名』+『off』》 
〈肩・ひじなど〉‘を'張る 
(人と)〈勘定〉‘を'決済する,清算する《+『名』〈勘定〉+『with』+『名』〈人〉》 
(…と)…‘を'一致させる,適合させる《+『名』+『with』+『名』》 
《受動態で》〈数〉‘を'2乗する;〈ある形・図形など〉‘の'平方積(面積)を求める 
〈人〉‘を'買収する,抱き込む,…‘に'わいろを使う 
〈試合の得点〉‘を'同点にする 
(…と)一致する,適合する《+『with』+『名』》",She lived at 56 Russell Square.,彼女はラッセルスクエア５６番地に住んでいた。
stage,舞台,steɪʤ,place where actors or musician perform for others,"(劇場・ホールなどの)『舞台』・on stage 舞台上で・《無冠詞》・off stage 舞台の陰で 《無冠詞》：ステージ;演壇;《the~》演劇;俳優業,演劇(舞台)の仕事 
(事件・活動などの)『舞台』,場所 
(発達などの)『段階』,時期 
(駅馬車などの止まる)駅,宿場;休憩地;(旅行における休憩地間の)旅程,行程 
=stagecoach 
(多段ロケットの)段 
〈劇〉‘を'『上演する』,〈試合など〉‘を'公開する 
(特に劇的に)…‘を'実行する,やってのける","I've set the stage so now you just have to show some guts, OK?",セッティングは整えておいたから、後はまーくんが根性見せなきゃダメだからね？
stand,立つ,stænd,to be upright; not be sitting or lying down,"〈人・動物が〉『立つ』,立っている 
(すわっていたのが)『立ち上がる』,起立する《+『up』》 
〈物が〉(ある場所に)『立っている』,立てかけてある,置かれている 
《副詞[句]を伴って》『位置する』ある(進行形にできない) 
〈人物が〉状態(関係)にある 
〈人が〉(…に)(賛成・反対の)態度をとる,主張をする《+『for』(『against』)+『名』》 
《『stand』+『名』(『形』)〈補〉》〈身長・得点・温度・順位などが〉(…で)ある 
立ち止まる;〈車・機械などが〉停止している 
〈主張などが〉変わらないでいる,ぐらつかない;〈規則などが〉有効である(進行形にできない) 
〈水などが〉よどむ;〈涙・汗などが〉たまる 
《副詞[句]を伴って》(船が)針路をとる 
…‘を'『立てる』,立たせる,立てかける;…‘を'置く,すえる 
…‘に'『立ち向かう』;…‘に'ひるまない;…‘を'守り通す 
《追例否定文で》…‘に'『耐える』,‘を'がまんする(進行形にできない) 
〈検査など〉‘を'受ける;〈運命など〉‘に'従う 
《話》…‘を'おごる 
〈任務など〉‘を'務める 
『立つこと;立ち止まること』,停止 
防御,抵抗 
立場,(明確な)態度,意見 
位置,場所 
《しばしば複合語を作って》『台』,…立て,…掛け 
《米》=witness stand 
『屋台店』,売店 
(タクシー・バスなどの)駐車場・乗り場 
《通例the stands》『観覧席』,さじき,スタンド 
(同一の地域・種類・樹齢の)立ち木,樹木,草木,作物 
(巡業興行団の)巡業[先],巡回[地]",Bamboo stands out in the woods.,林に竹が目立つ。
star,星,stɑr,A bright planet of gas in the night sky,"『星』;恒(fixed star) 
『星形のもの』;星章,星標(*)(asterisk) 
『スター』,花形 
(人の運勢を左右するといわれる)運星;《しばしば複数形で》運勢,運,星回り 
(星印で示した)等級 
《文》実現不可能な逆標(願望) 
星の 
花形の,主役の;卓越した,すぐれた 
…を星(星形の物)で飾る;…‘に'星印をつける;(…を)…‘に'のようにちりばめる《+『名』+『with』+『名』》 
…‘を'主役にする 
主役を務める,主演する",The number of visible stars is very great.,目に見える星の数は無数です。
stare,じっと見る,stɛr,To look at someone or something for a long time,"(…を)(目を大きく開いて)『じっと見つめる』,じろじろ見る,凝視する《+『at』(『into』)+『名』》 
〈色などが〉目見つ 
…‘を'『じっと見つめる』,じろじろ見る,凝視する 
〈人〉‘を'にらみつけて(…)させる《+『名』〈人〉+『into』(『to』)+『名』》 
『じっと見つめること』,凝視",It's embarrassing to be seen without make-up so please don't stare.,すっぴんは恥ずかしいのであまり見ないで下さい。
start,始め；開始,stɑrt,first time or place that a thing exists; beginning,"(…から…に向かって)『出発する』《+『from』+『名』+『for』(『to』)+『名』》 
〈事が〉『始まる』,発生する;)…で)始まる《+『with』+『塁』》,(…から)生じる《+『from』+『名』》 
〈人が〉『活動し始める』,〈機械などが〉動き始める;(…を)始める,(…に)着手する《+『in』(『on』)+『名』》 
《しばしば副詞[句]を伴って》〈人が〉(…に驚いて)急に動く;《比喩(ひゆ)的に》ぎまりとする,ぎょっとする 《+『at』+『名』》 
《しばしば副詞[句]を伴って》〈物が〉急に動く,飛び出る,噴出する 
(試合の)先発メンバーになる 
…‘を'『始める』,開始する 
〈人〉‘に'始めさせる 
…‘を'生じさせる,引き起こす 
〈機械など〉‘を'『始動させる』 
…‘を'使い始める 
〈獲物〉‘を'狩り出す,飛び立たせる,先発メンバーしとて出す 
〈C〉『出発』,スタート;出発点 
〈C〉(事業などの)『開始』,着手 
〈C〉最初,初め,出だし 
〈C〉《a ~》はっと(びっくり)すること,びっくりして飛び上がること 
〈U〉《時にa ~》(…に対する)先発[権],優先[権];機先《+『on』(『over』)+『名』》",When did the Japanese start eating polished rice?,いつから日本人は精白米を食べるようになったのですか？
state,州,steɪt,"region within a country, with its own government","…‘を'『はっきり述べる』,公式に申し立てる 
〈当局が〉…‘を'指定する,決める",Please state your opinion crisply and clearly.,はきはきと意見を言ってください。
statement,発言；陳述,ˈsteɪtmənt,act or process of saying something formally,"〈U〉『声明』(『供述』)『すること』 
〈C〉『声明』(『供述』)[『書』] 
〈C〉(銀行などの)計算書,決算報告 
〈C〉(音楽で)曲の主題の提示",Will you please make a specific statement?,明瞭な陳述をしていただけませんか。
station,駅,ˈsteɪʃən,place where you can catch a train or a bus,"〈C〉(人・物の定められた)場所,位置,持ち場,部署 
〈C〉『駅』,発着所,停留所;駅舎 
〈C〉(官庁などの)『署』,局,本部 
〈C〉(テレビ・ラジオの)放送局 
〈C〉事業所,研究所 
〈C〉(軍隊の)駐留地,軍港,基地 
〈U〉〈C〉《文》身分,社会的地位 
…‘を'部署につける,配置する",They contacted the station staff but the man had left the area and gone out through the ticket barrier.,駅員に連絡したが、男はその場を立ち去り、改札口を出て行った。
stay,滞在する,steɪ,To spend time visiting a place or someone’s home,"《副詞[句]を伴って》『とどまる』,いる 
(訪問者・客として)(…に)『滞在する』,泊まる《+『at』(『in』)+『名』〈場所〉,+『with』+『名』〈人〉》 
『じっとしている』《stay+名(形,過分)〈補〉…のままでいる》 
…‘を'押しとどめる,引き止める 
…‘の'間滞在する 
《おもに文》〈食欲など〉‘を'一時的にいやす(満たす) 
〈判決など〉‘を'延期する,猶予する 
…‘を'最後までもちこたえる,がんばり通す《+『名』+『out』》 
〈C〉《単数形で》『滞在』,とう留 
〈C〉〈U〉停止,休止 
〈C〉〈U〉(執行などの)猶予,停止",Should I stay up all night or not?,夜を徹するか否か。
steal,盗む,stil,To secretly take something that belongs to another,"(…から)〈物〉‘を'『盗む』《+『名』〈物〉+『from』+『名』》 
(…から)…‘を'こっそり取る,うまく手に入れる+『名』+『from』+『名』》 
(野球で)〈塁〉‘を'盗む,‘に'盗塁する 
盗みをする 
《方向・場所を表す副詞[句]を伴って》こっそり動く 
〈U〉《米話》こっそりと盗むこと;〈C〉盗品 
〈C〉《単数形で》《米話》格安品,掘り出し物 
〈C〉(野球で)盗塁",Poverty drove him to steal.,貧乏のせいで彼は盗みを働くようになった。
step,階段；ステップ,stɛp,flat horizontal piece that forms stairs,"『一歩』,歩み;一歩の距離,歩幅;短い距離 
(階段・はしごの)『段』,踏み段;《複数形で》『階段』 
(目的・目標への)『一歩』,一段階《+『to』(『toward』)+『名』》 
足音 
足跡 
『歩調』,足取り;(ダンスの)ステップ 
(目標に近づく)『手段』,方法,処置 
階級,昇級 
(音楽で)音程 
(温度計などの)目盛り 
《方向を表す副詞[句]を伴って》(…の方へ)『歩む』,一歩踏み出す,行く 
(…を)踏みつける《+『on』+『名』》 
〈足〉‘を'踏み出す;〈ダンス〉‘の'ステップを踏む 
…‘を'歩測する《+『off』(『out』)+『名』,+『名』+『off』(『out』)》 
〈段〉‘を'切り込む",Please step aside.,脇によってください。
stick,棒,stɪk,long thin piece of wood from a tree,"(とがったもので)…‘を'『刺す』,突く《+『名』+『with』+『名』》 
(…に)〈とがったもの〉‘を'『突き刺す』,突き立てる《+『名』+『in』(『into, through』)+『名』》 
(…で…に)…‘を'『刺して留める』,刺す《+『名』+『on』+『名』+『with』+『名』》 
(のりなどで…に)…‘を'『はる』,くっける《+『名』+『on』+『名』+『with』+『名』》 
《話》(…に)…‘を'置く,すえる(put)《+『名』+『on』(『in』)+『名』》 
《受動態で》〈人・車など〉‘を'『動けなくする』,〈仕事など〉‘を'行き詰まらせる 
《話》〈人〉‘を'困惑させる;〈人〉‘を'だます,‘に'たかる 
(…に)『突す刺さる』,刺さっている《+『in』+『名』》 
『くっついて離れない』,はりつく 
動かなくなる,立往生する",The old man walked with a stick.,老人は杖をついていた。
still,まだ；それでも；なお,stɪl,(used of an action or condition that is ongoing),"『静止した』,じっとした,動かない;風のない 
(場所などが)『静かな』,音を立てない,人が黙っている 
…を沈黙させる,静かにする 
〈不安など〉‘を'静める 
静かになる,静まる 
〈U〉静けさ 
〈C〉(映画の)スチール写真 
『まだ』,なお,従来通り 
《比較級を強調して》『なおさら』,いっそう 
『それでも』,やはり 
それにもかかわらず,しかしながら","The water temperature's still low so you're not going to swim, are you?",まだ水温低いから泳がないよね？
stone,石,stoʊn,"hard, solid piece of rock","〈U〉(物質としての)『石』,石材 
〈C〉『小石』,岩石の小片 
〈C〉《複合語を作って》(特定の目的に用いる)石材 
=precious stone 
〈C〉(形・堅さが)石に似たもの(あられなど) 
〈C〉(腎臓・膀胱(ぼうこう)などの)結石 
〈C〉(果実の)種,核 
〈C〉《英》(体重を表す重量単位の)ストーン(14ポンド(約5.35キログラム)に相当) 
『石造りの』,石の・石器製の 
…‘に'石を投げる,石を投げて殺す 
…‘に'石を取り付ける(張る,敷く),沿って石を並べる 
〈果実〉‘の'種を取る",A good lawyer would leave no stone unturned in his efforts to defend his client.,良い弁護士は弁護依頼人を守るために、あらゆる手をつくすだろう。
stop,止まる,stɑp,To finish moving or to come to an end,"〈動いているもの〉‘を'『止める』 
〈供給など〉‘を'停止する 
…‘を'阻止する,やめさせる 
〈自分がしていること〉‘を'『やめる』,中断する 
〈穴・口など〉‘を'ふさぐ,〈びんなど〉‘に'せんをする 
〈相手の一撃など〉‘を'かわす;〈相手〉‘を'打ち負かす,ノックアウトする 
〈楽器の弦・穴〉‘を'指で押さえる,〈音〉‘を'指で押さえて出す 
〈動いているものが〉『止まる』,停止する,立ち止まる 
〈仕事・話などが〉『中断する』;〈雨などが〉やむ 
〈人が〉仕事(話など)をやめる,手を休める,一息つく 
《話》(…に)滞在する,とどまる《+『at』+『名』〈場所〉『,』+『with』+『名』〈人〉》 
『止まること』,停止,中止,中断 
(旅先での)短期間の滞在,立ち寄り 
(道路の)停留所 
(穴などを)ふさぐこと…(びんなどの)せん 
(パイプオルガンなどの)ストップ,音栓(肝先) 
句読点,(特に)終止符 
(レンズの)絞り 
閉鎖音([p][b][k]など)",I have fibroid tumours. Is there a way to stop them getting large?,子宮筋腫があります。大きくならないようにする方法はありますか？
storage,貯蔵；保管；保管場所,ˈstɔrəʤ,act of storing something; a depository for goods,"(倉庫などに)貯蔵すること,保管 
貯蔵所,倉庫 
保管料",It takes little space for storage.,それは収納にあまり場所をとらない
store,【名/C】店 / 蓄え【動/他】を蓄える / を倉庫に保管する,stɔr,place where you can go to buy things,"〈C〉《おもに米》[小売]『店』,商店(《英》shop) 
〈C〉(…の)『蓄え』,貯蔵《+『of』+『名』》 
〈C〉多量,多数,たくさん(の…)《+『of』+『名』》 
《複数形で》必需品,備品,用品 
〈C〉倉庫,貯蔵所 
(将来のために)…‘を'蓄える』《+『up』+『名』》 
…‘を'『倉庫に保管する』 
(…を)〈ある場所など〉‘に'供給する,用意する《+『名』〈場所〉+『with』+『名』》",Save energy by abolishing the convenience stores' 24-hour-a-day trading!,省エネのためにコンビニの２４時間営業を廃止しろ！
story,話；物語,ˈstɔri,an account or description of how something happened,"〈C〉(事実に基づいた)『話』,実話 
〈C〉(架空の,人を楽しませる)『物語』,話 
〈U〉(小説,詩,劇,映画などの)筋,プロット 
〈C〉(新聞などの)記事,事件の報道 
〈C〉(ある人の言う)言葉,申し立て 
〈C〉《話》《子供が,また子供に対して用いる》うそ(lie)","By the way, I plan to do that for this story's sequel.",ちなみに、それはこの話の後日談にする予定です。
straight,まっすぐな,streɪt,"Not having curves, bends, or angles","『まっすぐな』,一直線の 
(毛髪などが)まっすぐな 
(背などが,曲らずに)『直立した』,まっすぐな 
《補語にのみ用いて》『整理した』,きちんとした 
真実を言う,率直な,正直な 
連続した 
《米》(ある政党に)徹底した,ベッタリの,きっすいの 
(比較変化なし)『まっすぐに』,一直線に;『直立して』,垂直に 
『直ちに』,回り道をしないで 
率直に,端的に 
《the~》まっすぐ,一直線;直線コース 
(カードゲームで)ポーカーの5枚続き,ストレート","Just how tiresome was it to argue straight against the phrase ""Don't blindly follow America's lead!""",アメリカの尻馬に乗るなというセリフに正面から反論するのが、どれほどしんどいことだったことか。
